Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,88.79,90.95,88.64,89.85,1308400,89.85
2010-11-04,89.09,89.48,88.40,89.04,2534400,89.04
2010-11-03,89.47,89.64,88.25,88.66,925300,88.66
2010-11-02,89.16,89.36,87.89,89.28,1021600,89.28
2010-11-01,88.13,89.14,87.26,88.08,1011200,88.08
2010-10-29,87.58,88.37,87.35,87.39,1156000,87.39
2010-10-28,89.08,89.61,87.29,87.80,1374600,87.80
2010-10-27,89.72,89.78,88.12,88.76,1384600,88.76
2010-10-26,90.27,90.49,89.44,90.14,698900,90.14
2010-10-25,91.39,91.67,90.70,91.08,827900,91.08
2010-10-22,90.58,91.21,90.35,91.06,995700,91.06
2010-10-21,90.36,91.25,89.84,90.79,1375900,90.79
2010-10-20,87.61,90.68,87.61,89.80,1542100,89.80
2010-10-19,87.75,88.82,86.95,87.49,1271300,87.49
2010-10-18,87.36,88.74,87.36,88.74,1429100,88.74
2010-10-15,88.62,88.85,86.84,87.21,1277700,87.21
2010-10-14,87.72,88.69,87.30,87.86,1514000,87.86
2010-10-13,87.85,88.81,87.60,88.07,1459400,88.07
2010-10-12,86.50,87.72,85.92,87.55,1086100,87.55
2010-10-11,86.94,87.45,86.55,86.97,661300,86.97
2010-10-08,87.30,87.59,86.53,86.95,1132400,86.95
2010-10-07,87.62,88.17,86.83,87.09,892400,87.09
2010-10-06,88.02,88.47,86.50,87.15,1347400,87.15
2010-10-05,87.97,88.80,86.94,88.36,1912600,88.36
2010-10-04,86.01,86.94,85.55,86.92,1239100,86.92
2010-10-01,86.48,86.57,84.80,85.96,1330000,85.96
2010-09-30,85.82,86.82,84.99,85.53,1957300,85.53
2010-09-29,86.11,86.33,85.04,85.37,1048300,85.37
2010-09-28,86.79,86.83,85.28,86.58,1716200,86.58
2010-09-27,86.65,87.45,86.04,86.85,1484900,86.85
2010-09-24,85.82,87.26,85.37,87.00,1637700,87.00
2010-09-23,86.86,86.98,84.68,84.70,1586000,84.70
2010-09-22,87.72,88.89,87.03,87.28,1652500,87.28
2010-09-21,88.63,89.06,87.19,88.36,1945500,88.36
2010-09-20,87.19,89.03,86.59,88.56,1539900,88.56
2010-09-17,86.49,86.76,85.42,86.53,1500400,86.53
2010-09-16,86.58,86.74,85.49,86.13,768500,86.13
2010-09-15,85.06,87.04,85.03,86.79,957400,86.79
2010-09-14,85.79,86.68,85.17,85.77,1491800,85.77
2010-09-13,86.32,86.34,85.15,86.03,1102500,86.03
2010-09-10,84.94,85.47,84.28,84.90,1090000,84.90
2010-09-09,86.95,87.62,84.35,84.55,1399600,84.55
2010-09-08,86.30,86.83,85.43,85.89,1179800,85.89
2010-09-07,86.62,86.81,85.70,85.75,1182000,85.75
2010-09-03,86.71,87.53,86.03,87.41,1412600,87.41
2010-09-02,84.48,86.17,84.36,86.14,1652800,86.14
2010-09-01,82.37,84.57,81.97,84.30,2239400,84.30
2010-08-31,80.41,81.55,79.91,81.06,1423600,81.06
2010-08-30,81.04,82.34,80.43,80.47,1086000,80.47
2010-08-27,80.85,81.66,79.06,81.58,1646800,81.58
2010-08-26,81.70,82.09,80.16,80.43,1251800,80.43
2010-08-25,79.61,81.61,79.61,81.22,1172500,81.22
2010-08-24,80.23,80.93,79.26,80.03,1008600,80.03
2010-08-23,81.71,82.22,80.84,80.96,879500,80.96
2010-08-20,81.00,81.77,80.30,81.06,1053900,81.06
2010-08-19,83.78,83.82,80.96,81.54,1367400,81.54
2010-08-18,84.04,84.76,83.41,84.02,1241400,84.02
2010-08-17,82.14,84.64,81.63,84.04,1848000,84.04
2010-08-16,80.68,81.79,80.45,81.14,934300,81.14
2010-08-13,81.25,82.19,80.99,81.00,1218400,81.00
2010-08-12,81.27,82.32,81.06,81.29,1314200,81.29
2010-08-11,82.82,83.41,81.96,82.37,1701700,82.37
2010-08-10,84.84,84.99,82.98,83.96,1340700,83.96
2010-08-09,84.46,85.66,84.18,85.58,972900,85.58
2010-08-06,84.00,84.95,83.27,84.85,1178500,84.20
2010-08-05,84.99,85.72,84.21,84.95,1125000,84.30
2010-08-04,85.16,85.90,84.91,85.66,966900,85.00
2010-08-03,85.46,85.94,84.44,84.79,1455600,84.14
2010-08-02,84.00,86.57,83.07,86.41,1828000,85.75
2010-07-30,81.23,83.02,81.20,82.78,1676800,82.15
2010-07-29,83.77,83.77,81.50,82.41,945200,81.78
2010-07-28,82.46,83.83,81.77,83.10,1365700,82.46
2010-07-27,83.62,83.94,81.78,82.66,1722900,82.03
2010-07-26,80.32,83.05,79.52,82.86,1627200,82.23
2010-07-23,79.00,80.20,77.81,80.12,1190300,79.51
2010-07-22,76.16,79.68,76.16,79.10,1979100,78.49
2010-07-21,78.09,78.34,75.24,75.56,1536600,74.98
2010-07-20,74.55,77.23,74.10,77.15,1389700,76.56
2010-07-19,75.00,76.14,73.87,75.75,1390300,75.17
2010-07-16,75.96,76.35,73.98,74.67,1935600,74.10
2010-07-15,76.85,77.10,74.84,76.88,997200,76.29
2010-07-14,76.33,77.34,75.61,76.68,839600,76.09
2010-07-13,76.51,77.54,75.87,77.30,1638900,76.71
2010-07-12,74.76,75.64,74.07,75.62,1534700,75.04
2010-07-09,73.13,75.07,73.07,75.00,1485600,74.43
2010-07-08,73.72,74.19,72.09,73.39,1687900,72.83
2010-07-07,69.85,72.87,69.54,72.86,2361500,72.30
2010-07-06,72.85,73.14,68.59,69.50,2809000,68.97
2010-07-02,73.00,73.53,70.97,71.13,1656700,70.59
2010-07-01,73.19,73.75,71.24,72.98,1831100,72.42
2010-06-30,74.17,75.34,72.71,72.95,2314100,72.39
2010-06-29,76.16,76.96,73.38,73.97,2373700,73.40
2010-06-28,79.20,79.20,77.08,77.29,1346400,76.70
2010-06-25,77.11,78.90,76.53,78.68,2445800,78.08
2010-06-24,77.00,78.17,76.02,76.26,2292900,75.68
2010-06-23,77.40,78.34,76.01,77.64,1903300,77.05
2010-06-22,79.83,80.47,77.21,77.39,2111900,76.80
2010-06-21,80.39,81.50,79.46,79.71,1760500,79.10
2010-06-18,79.99,80.43,79.13,79.38,2448000,78.77
2010-06-17,79.62,80.05,78.61,79.74,1236100,79.13
2010-06-16,79.00,79.91,78.52,79.54,1690500,78.93
2010-06-15,78.65,79.83,77.78,79.60,2135700,78.99
2010-06-14,77.65,78.88,77.04,77.94,2371800,77.34
2010-06-11,75.64,77.10,75.36,76.94,1684700,76.35
2010-06-10,74.17,76.74,73.89,76.45,1938500,75.86
2010-06-09,73.34,75.44,72.67,73.04,1764200,72.48
2010-06-08,71.85,73.15,70.06,72.78,2459400,72.22
2010-06-07,72.39,73.88,71.73,71.79,2050200,71.24
2010-06-04,75.17,76.09,71.80,72.10,2772200,71.55
2010-06-03,77.86,77.98,76.13,76.93,1509500,76.34
2010-06-02,76.31,77.93,75.18,77.86,2150800,77.26
2010-06-01,77.03,78.05,75.67,75.86,1877100,75.28
2010-05-28,79.79,79.79,77.45,77.68,1889300,77.08
2010-05-27,75.51,79.21,75.25,79.08,2297400,78.47
2010-05-26,75.52,76.26,73.62,73.97,2453400,73.40
2010-05-25,71.59,74.66,71.05,74.51,2184500,73.94
2010-05-24,76.14,76.48,73.63,73.68,1918800,73.12
2010-05-21,72.18,76.20,71.70,76.01,3753200,75.43
2010-05-20,74.83,76.02,73.26,73.49,2762800,72.93
2010-05-19,76.64,78.27,74.25,76.40,2263300,75.81
2010-05-18,80.47,80.91,76.82,77.04,2287400,76.45
2010-05-17,79.67,80.97,76.94,79.46,1870000,78.85
2010-05-14,81.26,81.34,78.63,79.55,1873500,78.94
2010-05-13,83.08,83.28,81.57,81.88,1460600,81.25
2010-05-12,82.32,83.57,81.53,83.22,1695000,82.58
2010-05-11,80.65,82.71,80.31,81.88,1693500,81.25
2010-05-10,79.97,81.99,79.20,81.90,2810900,81.27
2010-05-07,78.07,80.11,75.58,76.54,3191100,75.95
2010-05-06,81.05,82.11,72.51,78.37,3508300,77.77
2010-05-05,82.10,83.58,79.89,82.51,2013300,81.23
2010-05-04,85.27,85.65,82.91,83.50,2387900,82.21
2010-05-03,84.07,86.79,83.54,86.05,2186200,84.72
2010-04-30,85.96,86.75,83.08,83.37,2537800,82.08
2010-04-29,82.42,86.41,82.12,86.36,2333900,85.02
2010-04-28,81.44,81.90,80.75,81.47,1923600,80.21
2010-04-27,82.99,83.26,80.90,81.02,2206100,79.77
