Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.59,33.62,33.04,33.43,13210100,33.43
2010-11-04,33.21,33.54,33.16,33.52,14746800,33.52
2010-11-03,32.90,33.05,32.70,32.99,13770100,32.99
2010-11-02,32.63,32.98,32.62,32.80,12991300,32.80
2010-11-01,32.77,32.77,32.23,32.40,12614100,32.40
2010-10-29,32.37,32.56,32.21,32.48,12072000,32.48
2010-10-28,32.70,32.75,32.21,32.41,15380600,32.41
2010-10-27,32.44,32.56,32.19,32.51,18978200,32.51
2010-10-26,32.41,32.71,32.41,32.50,13749400,32.50
2010-10-25,32.30,32.61,32.20,32.35,15551800,32.35
2010-10-22,32.45,32.50,31.76,32.09,23978300,32.09
2010-10-21,32.86,32.86,32.18,32.52,31916500,32.52
2010-10-20,32.34,32.81,32.30,32.64,15199100,32.64
2010-10-19,32.57,32.61,32.02,32.16,20410200,32.16
2010-10-18,32.52,32.93,32.49,32.59,17593300,32.59
2010-10-15,32.68,32.80,32.17,32.43,31197000,32.43
2010-10-14,32.36,32.67,32.29,32.44,17973000,32.44
2010-10-13,32.40,32.48,32.17,32.21,22533000,32.21
2010-10-12,32.45,32.64,32.20,32.54,23947700,32.54
2010-10-11,32.90,33.20,32.84,33.03,11070200,33.03
2010-10-08,33.09,33.14,32.61,32.83,15286300,32.83
2010-10-07,33.57,33.57,32.86,32.93,22637200,32.93
2010-10-06,33.14,33.48,32.74,33.36,39172500,33.36
2010-10-05,33.20,33.68,33.14,33.57,20660500,33.08
2010-10-04,32.91,33.15,32.78,33.03,19124700,32.55
2010-10-01,32.78,32.97,32.65,32.89,14510100,32.41
2010-09-30,32.75,33.09,32.52,32.59,15659000,32.12
2010-09-29,32.67,32.82,32.41,32.66,16003000,32.19
2010-09-28,33.03,33.09,32.69,32.72,19430900,32.24
2010-09-27,32.61,33.07,32.52,32.86,19803100,32.38
2010-09-24,32.47,32.68,32.40,32.64,18654100,32.17
2010-09-23,32.25,32.60,32.07,32.17,15983200,31.70
2010-09-22,32.31,32.64,32.25,32.39,17625700,31.92
2010-09-21,32.12,32.50,31.89,32.32,20578500,31.85
2010-09-20,31.84,32.17,31.58,32.09,21589300,31.62
2010-09-17,31.59,31.75,31.38,31.68,21525200,31.22
2010-09-16,31.21,31.47,30.94,31.42,16013600,30.96
2010-09-15,30.90,31.21,30.75,31.19,15833900,30.74
2010-09-14,30.80,31.15,30.62,30.91,12023200,30.46
2010-09-13,30.99,31.05,30.61,30.90,14977900,30.45
2010-09-10,30.85,30.94,30.78,30.82,11586900,30.37
2010-09-09,30.65,30.92,30.55,30.84,17026800,30.39
2010-09-08,30.27,30.51,30.25,30.46,14263600,30.02
