Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,60.04,60.52,59.77,60.49,632900,60.49
2010-11-04,59.97,60.25,59.70,60.00,627600,60.00
2010-11-03,60.00,60.23,59.20,59.50,892700,59.50
2010-11-02,60.17,60.56,59.87,59.88,761000,59.88
2010-11-01,59.92,60.09,59.21,59.63,635000,59.63
2010-10-29,59.63,59.78,59.30,59.54,496800,59.54
2010-10-28,59.78,59.80,59.27,59.69,770500,59.69
2010-10-27,59.27,59.28,58.50,59.25,783200,59.25
2010-10-26,59.48,59.66,59.04,59.60,635000,59.60
2010-10-25,59.82,59.82,59.26,59.56,562200,59.56
2010-10-22,59.55,59.58,59.10,59.49,451900,59.49
2010-10-21,59.75,60.00,59.25,59.56,1058100,59.56
2010-10-20,58.70,59.69,58.70,59.56,819400,59.56
2010-10-19,58.11,58.83,58.11,58.67,855600,58.67
2010-10-18,58.66,58.92,58.52,58.73,363400,58.73
2010-10-15,58.52,58.75,58.20,58.57,465600,58.57
2010-10-14,58.14,58.44,57.88,58.05,318500,58.05
2010-10-13,58.03,58.31,57.83,58.12,367500,58.12
2010-10-12,58.18,58.19,57.59,57.97,336300,57.97
2010-10-11,58.18,58.43,57.99,58.20,394100,58.20
2010-10-08,58.27,58.29,57.63,58.22,704700,58.22
2010-10-07,58.52,58.91,57.89,58.15,755600,58.15
2010-10-06,58.49,58.63,57.95,58.18,637600,58.18
2010-10-05,58.27,58.58,58.10,58.57,842300,58.57
2010-10-04,58.06,58.43,57.52,57.89,410800,57.89
2010-10-01,58.05,58.34,57.72,58.26,695600,58.26
2010-09-30,58.24,58.41,57.61,57.80,1252600,57.80
2010-09-29,58.28,58.39,57.71,57.93,732400,57.93
2010-09-28,58.40,58.58,57.80,58.46,785400,58.46
2010-09-27,57.89,58.37,57.75,58.06,427200,58.06
2010-09-24,57.62,58.29,57.52,58.08,651000,58.08
2010-09-23,57.48,57.71,56.95,57.03,375200,57.03
2010-09-22,57.85,58.42,57.56,57.85,510600,57.85
2010-09-21,58.06,58.24,57.58,57.73,580800,57.73
2010-09-20,57.58,58.19,57.02,58.12,1345100,58.12
2010-09-17,57.21,57.21,56.41,56.65,1144000,56.65
2010-09-16,57.02,57.40,56.91,56.98,785600,56.98
2010-09-15,57.70,57.72,57.03,57.33,624400,57.33
2010-09-14,57.68,57.98,57.30,57.78,715000,57.78
2010-09-13,57.38,57.68,57.13,57.68,468900,57.68
2010-09-10,56.91,57.15,56.51,57.14,480500,57.14
2010-09-09,57.12,57.30,56.83,57.07,379400,57.07
2010-09-08,57.15,57.15,56.48,56.64,568600,56.64
2010-09-07,57.18,57.66,57.03,57.04,437200,57.04
2010-09-03,57.31,57.48,56.88,57.38,578300,57.38
2010-09-02,57.08,57.08,56.32,57.01,889700,57.01
2010-09-01,56.41,56.99,55.96,56.98,946400,56.98
2010-08-31,55.49,56.10,55.05,55.74,1116800,55.74
2010-08-30,56.47,56.56,55.64,55.65,484700,55.65
2010-08-27,55.64,56.64,55.19,56.52,892800,56.52
2010-08-26,56.00,56.09,55.25,55.40,698200,55.40
2010-08-25,55.65,55.98,55.20,55.87,734200,55.87
2010-08-24,55.36,56.11,55.11,55.85,920200,55.85
2010-08-23,55.73,56.37,55.65,55.70,559500,55.70
2010-08-20,55.15,55.71,55.00,55.63,737200,55.63
2010-08-19,56.00,56.11,55.21,55.56,1041200,55.56
2010-08-18,56.10,56.28,55.37,56.18,1148800,56.18
2010-08-17,55.70,56.26,55.20,56.07,1180100,56.07
2010-08-16,54.83,55.43,54.58,55.36,1045800,55.36
2010-08-13,54.74,55.59,54.74,55.22,679600,55.22
2010-08-12,54.75,55.29,54.65,55.05,864800,55.05
2010-08-11,55.06,55.37,54.91,55.19,1119000,55.19
2010-08-10,55.45,56.39,55.27,56.12,749000,55.72
2010-08-09,56.00,56.25,55.78,55.95,718500,55.55
2010-08-06,55.25,55.87,54.85,55.84,876700,55.44
2010-08-05,54.92,55.53,54.73,55.46,785500,55.06
2010-08-04,55.11,55.31,54.56,55.21,476700,54.82
2010-08-03,55.13,55.42,54.85,55.11,700900,54.72
2010-08-02,54.74,55.55,54.74,55.37,875500,54.98
2010-07-30,54.23,54.73,53.78,54.28,930900,53.89
2010-07-29,55.85,55.85,53.80,54.83,1661900,54.44
2010-07-28,55.52,55.94,55.31,55.36,860700,54.97
2010-07-27,55.53,55.71,55.33,55.68,1135100,55.28
2010-07-26,55.24,55.29,54.91,55.25,769800,54.86
2010-07-23,54.50,55.05,54.06,55.03,801400,54.64
2010-07-22,53.98,54.85,53.93,54.50,819500,54.11
2010-07-21,54.46,54.50,53.27,53.40,522500,53.02
2010-07-20,53.43,54.33,53.19,54.33,751500,53.94
2010-07-19,53.15,53.89,52.86,53.78,1200200,53.40
2010-07-16,53.68,53.68,52.67,52.86,890200,52.48
2010-07-15,53.88,53.98,53.25,53.90,668400,53.52
2010-07-14,53.39,53.76,53.06,53.75,696900,53.37
2010-07-13,53.94,53.94,53.26,53.65,762800,53.27
2010-07-12,53.03,53.28,52.69,53.24,474900,52.86
2010-07-09,52.94,53.13,52.64,53.09,518800,52.71
2010-07-08,52.88,53.00,52.64,52.98,692500,52.60
2010-07-07,51.56,52.80,51.27,52.76,1041300,52.38
2010-07-06,51.21,51.69,50.88,51.37,875400,51.00
2010-07-02,49.96,50.88,49.85,50.54,925700,50.18
2010-07-01,50.48,50.48,49.41,49.92,1721200,49.56
2010-06-30,51.43,51.57,50.65,50.74,1249900,50.38
2010-06-29,51.37,51.78,51.11,51.44,1585700,51.07
2010-06-28,51.01,52.02,50.81,51.77,943400,51.40
2010-06-25,50.73,51.56,50.23,51.30,1746600,50.93
2010-06-24,49.72,51.09,49.61,50.73,1699900,50.37
2010-06-23,50.27,50.31,49.60,49.76,785500,49.41
2010-06-22,51.37,51.42,50.26,50.33,599800,49.97
2010-06-21,52.15,52.20,51.02,51.27,507900,50.90
2010-06-18,52.19,52.25,51.63,51.77,1065100,51.40
2010-06-17,51.25,52.03,51.19,51.97,1046000,51.60
2010-06-16,50.38,51.44,50.38,51.21,625600,50.84
2010-06-15,49.93,50.61,49.90,50.61,719000,50.25
2010-06-14,50.14,50.14,49.59,49.64,679600,49.29
2010-06-11,49.06,49.71,48.84,49.70,841300,49.35
2010-06-10,48.58,49.43,48.56,49.43,788800,49.08
2010-06-09,48.65,48.71,47.85,48.00,993800,47.66
2010-06-08,47.63,48.57,47.44,48.54,1272700,48.19
2010-06-07,48.23,48.57,47.63,47.66,1904500,47.32
2010-06-04,48.48,48.98,47.92,48.09,1275300,47.75
2010-06-03,49.21,49.79,49.08,49.25,1173500,48.90
2010-06-02,48.59,49.18,48.25,49.18,1048300,48.83
2010-06-01,48.69,49.16,48.31,48.31,1070000,47.97
2010-05-28,48.99,49.55,48.86,49.00,991500,48.65
2010-05-27,48.97,49.03,48.52,48.99,684900,48.64
2010-05-26,48.44,48.92,48.09,48.33,890900,47.99
2010-05-25,47.63,48.22,46.84,48.21,1024400,47.87
2010-05-24,48.41,49.13,48.12,48.43,761000,48.08
2010-05-21,48.24,48.87,47.78,48.71,1846000,48.36
2010-05-20,49.73,49.94,48.77,48.82,1082300,48.47
2010-05-19,50.39,51.02,50.09,50.61,1151300,50.25
2010-05-18,51.23,51.77,50.62,50.69,837100,50.33
2010-05-17,51.05,51.29,50.40,51.15,802400,50.79
2010-05-14,51.07,51.22,50.53,50.87,625400,50.51
2010-05-13,51.86,51.87,51.14,51.27,1280400,50.90
2010-05-12,52.05,52.05,51.43,51.90,1441100,51.53
2010-05-11,51.39,52.58,51.36,52.17,1308500,51.40
2010-05-10,51.66,51.89,50.18,51.83,1798900,51.07
2010-05-07,50.60,51.04,49.55,50.18,2277700,49.44
2010-05-06,52.35,52.35,47.68,50.47,2191700,49.73
2010-05-05,52.87,53.27,52.22,52.59,875400,51.81
2010-05-04,53.80,53.80,52.17,52.97,935600,52.19
2010-05-03,52.90,53.64,52.50,53.44,940900,52.65
2010-04-30,52.31,53.21,52.19,52.51,1003100,51.74
2010-04-29,51.24,52.24,51.09,52.19,974300,51.42
2010-04-28,51.00,51.13,50.61,51.00,658100,50.25
2010-04-27,51.69,52.05,50.85,50.88,629000,50.13
2010-04-26,51.89,52.00,51.72,51.85,525700,51.09
2010-04-23,51.70,51.98,51.43,51.98,476900,51.21
2010-04-22,51.54,51.83,51.26,51.82,518200,51.06
2010-04-21,51.30,51.70,51.17,51.66,770500,50.90
2010-04-20,51.05,51.38,50.80,51.38,543400,50.62
2010-04-19,50.37,50.86,50.32,50.77,812200,50.02
2010-04-16,50.85,51.11,50.40,50.56,808800,49.81
2010-04-15,51.40,51.40,50.78,50.94,946300,50.19
2010-04-14,50.97,51.40,50.85,51.37,1031900,50.61
2010-04-13,50.75,51.01,50.47,50.96,832100,50.21
2010-04-12,50.54,50.86,50.26,50.84,495500,50.09
2010-04-09,50.14,50.50,49.67,50.48,395700,49.74
2010-04-08,50.27,50.28,49.93,50.18,497600,49.44
2010-04-07,50.79,50.83,50.31,50.51,531800,49.77
2010-04-06,50.32,50.98,50.15,50.91,794900,50.16
2010-04-05,50.05,50.42,49.72,50.42,553200,49.68
2010-04-01,49.56,49.94,49.41,49.91,1307200,49.17
2010-03-31,49.43,49.55,49.12,49.41,981200,48.68
2010-03-30,49.70,49.95,49.43,49.46,1179800,48.73
2010-03-29,49.83,49.89,49.54,49.71,1300600,48.98
2010-03-26,49.74,50.09,49.56,49.58,685900,48.85
2010-03-25,49.97,50.17,49.55,49.60,918800,48.87
2010-03-24,50.36,50.45,49.78,49.89,500700,49.15
2010-03-23,50.16,50.43,49.98,50.34,565000,49.60
2010-03-22,50.39,50.39,49.79,50.22,690900,49.48
2010-03-19,51.08,51.41,50.23,50.56,1353700,49.81
2010-03-18,51.06,51.31,50.75,51.03,838800,50.28
2010-03-17,50.90,51.27,50.67,51.19,862600,50.44
2010-03-16,50.13,50.79,50.03,50.75,520900,50.00
2010-03-15,49.99,50.21,49.80,50.21,403700,49.47
2010-03-12,50.31,50.31,49.84,49.99,622500,49.25
2010-03-11,49.82,50.15,49.56,50.14,344000,49.40
2010-03-10,49.81,49.96,49.45,49.88,874700,49.14
