Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,27.56,29.36,27.55,29.22,79643600,29.22
2010-11-04,26.81,27.50,26.63,27.46,57381100,27.46
2010-11-03,25.74,26.50,25.69,26.46,32381400,26.46
2010-11-02,26.00,26.05,25.78,25.97,25101700,25.92
2010-11-01,26.03,26.10,25.60,25.93,24764600,25.88
2010-10-29,25.82,26.13,25.67,26.06,24018000,26.01
2010-10-28,25.84,25.96,25.61,25.94,23976400,25.89
2010-10-27,25.69,26.00,25.60,25.75,35352000,25.70
2010-10-26,25.60,25.99,25.48,25.91,30595600,25.86
2010-10-25,26.37,26.42,25.52,25.72,36779700,25.67
2010-10-22,26.03,26.25,25.75,26.11,26633200,26.06
2010-10-21,25.77,26.41,23.87,26.03,52489800,25.98
2010-10-20,24.27,25.97,24.17,25.60,101499400,25.55
2010-10-19,24.67,25.32,24.39,24.55,72213100,24.50
2010-10-18,23.69,24.88,23.64,24.87,66672500,24.82
2010-10-15,25.00,25.00,23.37,23.58,144985700,23.53
2010-10-14,25.45,25.49,24.20,24.72,117397100,24.67
2010-10-13,26.23,26.34,25.63,25.81,41846800,25.76
2010-10-12,25.44,26.04,25.30,25.98,37344700,25.93
2010-10-11,25.96,26.10,25.46,25.65,24637400,25.60
2010-10-08,26.19,26.25,25.72,25.95,29467900,25.90
2010-10-07,26.47,26.58,25.84,26.00,27293900,25.95
2010-10-06,26.22,26.49,26.13,26.30,31852900,26.25
2010-10-05,25.67,26.35,25.40,26.25,42788700,26.20
2010-10-04,25.51,25.79,25.22,25.38,25645400,25.33
2010-10-01,25.30,25.69,25.12,25.56,32117900,25.51
2010-09-30,25.24,25.63,25.02,25.12,37365700,25.07
2010-09-29,25.21,25.37,24.91,25.04,37676000,24.99
2010-09-28,25.58,25.87,25.11,25.35,38697900,25.30
2010-09-27,25.72,25.92,25.49,25.53,28381000,25.48
2010-09-24,25.46,25.73,25.33,25.59,46480600,25.54
2010-09-23,25.30,25.67,25.04,25.04,59315100,24.99
2010-09-22,26.37,26.48,25.72,25.81,32251200,25.76
2010-09-21,26.63,26.96,26.29,26.38,32217500,26.33
2010-09-20,26.09,26.65,25.92,26.56,30529000,26.51
2010-09-17,26.37,26.37,25.87,26.01,34400600,25.96
2010-09-16,26.16,26.28,25.90,26.06,28999400,26.01
2010-09-15,25.72,26.44,25.61,26.34,32614200,26.29
2010-09-14,26.30,26.33,25.89,26.06,29814000,26.01
2010-09-13,26.37,26.79,26.25,26.50,39588200,26.45
2010-09-10,25.83,25.97,25.67,25.75,19893500,25.70
2010-09-09,25.71,26.01,25.22,25.69,28728700,25.64
2010-09-08,25.03,25.40,25.03,25.22,22687800,25.17
2010-09-07,25.57,25.68,24.91,24.92,30986700,24.87
2010-09-03,25.75,26.13,25.59,25.84,42741400,25.79
2010-09-02,24.68,25.11,24.62,25.10,38196400,25.05
2010-09-01,23.91,24.75,23.76,24.66,53882000,24.61
2010-08-31,23.18,23.68,23.03,23.55,35713300,23.50
2010-08-30,23.93,23.98,23.23,23.25,37964800,23.21
2010-08-27,23.64,24.00,23.47,24.00,45099500,23.95
2010-08-26,23.73,24.10,23.40,23.49,41212900,23.44
2010-08-25,23.41,23.65,23.02,23.60,55554200,23.55
2010-08-24,23.96,24.05,23.54,23.64,55658300,23.59
2010-08-23,24.86,24.88,24.19,24.23,33766900,24.18
2010-08-20,24.43,24.71,24.27,24.60,40025600,24.55
2010-08-19,25.10,25.36,24.27,24.43,51516800,24.38
2010-08-18,25.30,25.67,25.09,25.38,38076300,25.33
2010-08-17,25.96,26.01,25.21,25.34,49481000,25.29
2010-08-16,25.67,25.91,25.52,25.68,24593600,25.63
2010-08-13,25.99,26.30,25.81,25.84,25494200,25.79
2010-08-12,26.00,26.39,25.87,26.00,31944800,25.95
2010-08-11,27.26,27.39,26.26,26.30,39624100,26.25
2010-08-10,27.94,28.07,27.51,27.77,29837400,27.72
2010-08-09,27.90,28.27,27.52,28.23,29199300,28.18
2010-08-06,27.49,27.77,27.24,27.75,38637900,27.70
2010-08-05,27.71,27.96,27.56,27.88,21881200,27.83
2010-08-04,28.17,28.25,27.70,27.93,28936700,27.88
2010-08-03,28.45,28.49,27.94,28.12,29544200,28.02
2010-08-02,28.29,28.58,27.95,28.57,28005100,28.46
2010-07-30,27.27,27.99,27.25,27.73,27490900,27.63
2010-07-29,28.32,28.49,27.48,27.69,30045500,27.59
2010-07-28,28.25,28.54,27.92,28.07,23935100,27.97
2010-07-27,28.41,28.77,28.24,28.39,38411500,28.28
2010-07-26,27.45,27.92,27.23,27.91,22724200,27.81
2010-07-23,27.33,27.55,27.00,27.42,25737000,27.32
2010-07-22,26.62,27.49,26.55,27.39,53000300,27.29
2010-07-21,27.53,27.60,25.97,26.06,70914600,25.96
2010-07-20,25.47,25.92,25.30,25.91,47672300,25.81
2010-07-19,26.27,26.40,25.62,26.02,34667100,25.92
2010-07-16,27.44,27.47,26.16,26.24,55456400,26.14
2010-07-15,27.85,28.16,27.02,27.81,48127100,27.71
2010-07-14,27.70,27.78,27.25,27.66,31305800,27.56
2010-07-13,27.37,28.08,27.32,27.94,31658500,27.84
2010-07-12,26.93,27.13,26.56,27.06,18761700,26.96
2010-07-09,26.50,27.04,26.40,27.00,24905000,26.90
2010-07-08,27.06,27.06,26.10,26.64,38228800,26.54
2010-07-07,25.28,26.73,25.14,26.66,48830500,26.56
