Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,45.80,45.90,45.00,45.49,6961500,45.49
2010-11-04,45.08,48.02,44.85,47.27,12854300,47.27
2010-11-03,40.51,41.23,40.45,41.07,4443600,41.07
2010-11-02,40.00,40.49,39.95,40.45,2833700,40.45
2010-11-01,39.92,40.22,39.73,39.85,2517800,39.85
2010-10-29,39.54,39.76,39.30,39.75,1305400,39.75
2010-10-28,40.00,40.00,39.07,39.52,1936300,39.52
2010-10-27,39.38,39.76,39.13,39.70,1667000,39.70
2010-10-26,39.70,39.91,39.22,39.73,2108100,39.73
2010-10-25,40.07,40.33,39.63,39.86,2113100,39.86
2010-10-22,38.35,40.06,38.35,39.89,3661600,39.89
2010-10-21,38.57,38.80,37.97,38.30,2224800,38.30
2010-10-20,37.79,38.73,37.59,38.37,3630000,38.37
2010-10-19,38.00,38.37,37.36,37.66,2896600,37.66
2010-10-18,38.42,38.74,38.17,38.45,2228100,38.45
2010-10-15,38.36,38.71,38.00,38.30,5122500,38.30
2010-10-14,36.63,37.49,36.52,37.06,2589400,37.06
2010-10-13,36.08,37.15,35.92,36.76,2716300,36.76
2010-10-12,34.81,36.07,34.50,35.86,4602200,35.86
2010-10-11,34.47,35.37,34.47,34.94,4312100,34.94
2010-10-08,35.21,35.35,34.04,34.57,5384500,34.57
2010-10-07,36.23,36.44,34.86,35.22,5351400,35.22
2010-10-06,36.69,36.75,36.05,36.18,2399600,36.18
2010-10-05,36.82,36.84,36.44,36.59,2758800,36.59
2010-10-04,36.91,37.06,36.34,36.58,1512300,36.58
2010-10-01,37.26,37.32,36.56,37.07,1480600,37.07
2010-09-30,37.53,37.89,36.95,37.11,1524300,37.11
2010-09-29,37.39,37.49,37.16,37.42,1335000,37.42
2010-09-28,36.46,37.56,36.32,37.53,2788200,37.53
2010-09-27,37.11,37.22,36.47,36.50,1490100,36.50
2010-09-24,36.73,37.33,36.48,37.07,2166400,37.07
2010-09-23,36.36,36.60,36.12,36.40,1714400,36.40
2010-09-22,37.26,37.51,36.39,36.72,2001000,36.72
2010-09-21,36.85,37.47,36.75,37.28,4850200,37.28
2010-09-20,37.21,38.41,36.95,38.18,3128900,38.18
2010-09-17,36.64,37.16,36.39,37.09,7866300,37.09
2010-09-16,35.97,36.65,35.76,36.34,2262400,36.34
2010-09-15,35.45,36.46,34.14,35.93,2183600,35.93
2010-09-14,35.26,35.74,35.11,35.50,2666700,35.50
2010-09-13,35.95,36.08,35.06,35.25,2061500,35.25
2010-09-10,35.18,35.75,35.16,35.47,1605100,35.47
2010-09-09,35.58,35.75,35.09,35.16,1448300,35.16
2010-09-08,35.75,35.87,35.07,35.27,2550200,35.27
2010-09-07,36.53,36.66,35.54,35.68,2260100,35.68
2010-09-03,36.49,37.25,36.42,36.66,1831800,36.66
2010-09-02,35.25,36.12,34.92,36.01,2423000,36.01
2010-09-01,35.49,35.88,35.25,35.33,1576700,35.33
2010-08-31,34.56,35.37,34.50,34.79,2498100,34.79
2010-08-30,35.30,35.70,34.67,34.69,1960100,34.69
2010-08-27,36.21,36.28,35.19,35.70,2163500,35.70
2010-08-26,36.01,36.58,35.69,35.75,1735100,35.75
2010-08-25,35.20,36.03,35.04,35.87,1815500,35.87
2010-08-24,36.00,36.13,35.28,35.35,2698200,35.35
2010-08-23,36.67,36.92,36.22,36.43,1383000,36.43
2010-08-20,36.38,36.80,36.08,36.72,1761600,36.72
2010-08-19,36.47,36.80,36.20,36.39,2441800,36.39
2010-08-18,36.84,36.88,36.36,36.77,1829400,36.77
2010-08-17,36.78,37.24,36.44,36.98,2056800,36.98
2010-08-16,36.15,36.88,36.03,36.78,2315100,36.78
2010-08-13,36.14,36.71,35.82,36.42,2743900,36.42
2010-08-12,35.34,36.51,35.09,36.41,2322600,36.41
2010-08-11,35.76,35.95,35.47,35.67,2066200,35.67
2010-08-10,36.86,36.92,36.07,36.38,2978400,36.38
2010-08-09,37.02,37.25,36.42,36.47,2414300,36.47
2010-08-06,36.19,36.58,36.04,36.48,2635900,36.48
2010-08-05,36.16,37.00,35.75,36.36,4419400,36.36
2010-08-04,37.25,37.55,36.03,36.16,9005300,36.16
2010-08-03,38.85,39.59,38.19,39.49,3855100,39.49
2010-08-02,38.63,39.17,38.53,38.93,2039300,38.93
2010-07-30,38.45,38.71,37.28,37.97,3458400,37.97
2010-07-29,39.52,39.83,38.55,38.84,1776200,38.84
2010-07-28,40.15,40.15,39.17,39.44,1126900,39.44
2010-07-27,39.84,40.43,39.82,40.15,2690900,40.15
2010-07-26,38.71,39.92,38.36,39.63,1723900,39.63
2010-07-23,37.21,38.79,37.18,38.77,2151100,38.77
2010-07-22,36.64,37.50,36.51,37.36,1445600,37.36
2010-07-21,37.51,37.51,36.15,36.31,2133400,36.31
2010-07-20,36.52,37.51,36.26,37.42,1880900,37.42
2010-07-19,37.27,37.33,36.24,36.91,1552900,36.91
2010-07-16,38.77,38.91,37.04,37.21,2171500,37.21
2010-07-15,37.40,39.09,36.91,38.99,4410200,38.99
2010-07-14,36.82,37.48,36.51,37.35,2528500,37.35
2010-07-13,36.36,37.18,36.35,37.01,1712700,37.01
2010-07-12,36.46,36.86,35.78,36.00,1670900,36.00
2010-07-09,36.57,36.78,36.31,36.66,1624100,36.66
2010-07-08,35.82,36.89,35.60,36.77,2798200,36.77
2010-07-07,34.21,35.79,34.08,35.70,3134800,35.70
2010-07-06,35.50,35.60,33.96,34.19,2285200,34.19
2010-07-02,35.54,35.56,34.70,35.02,1387800,35.02
2010-07-01,35.86,35.99,34.52,35.51,3309900,35.51
2010-06-30,36.84,36.85,35.90,36.02,2909400,36.02
2010-06-29,38.18,38.18,36.63,36.97,2438900,36.97
2010-06-28,38.80,38.84,38.03,38.28,1125300,38.28
2010-06-25,38.36,38.99,38.00,38.69,2237200,38.69
2010-06-24,38.93,39.22,38.11,38.41,1630400,38.41
2010-06-23,38.78,39.37,38.17,39.02,1282700,39.02
2010-06-22,39.52,39.99,38.81,38.91,1704000,38.91
2010-06-21,40.64,40.95,39.06,39.31,1677900,39.31
