Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,79.95,80.77,79.35,80.07,1830700,80.07
2010-11-04,78.80,79.89,78.21,79.80,2003500,79.80
2010-11-03,77.16,77.98,76.60,77.46,2124700,77.46
2010-11-02,75.93,77.65,74.75,77.22,1860000,77.22
2010-11-01,76.25,76.65,74.43,75.27,1288300,75.27
2010-10-29,77.21,77.60,75.33,75.83,3085600,75.83
2010-10-28,81.38,81.38,77.00,77.00,2934300,77.00
2010-10-27,83.28,83.28,77.81,81.04,5528100,81.04
2010-10-26,84.34,86.02,83.71,84.52,1410700,84.52
2010-10-25,86.28,87.44,84.73,84.81,1469400,84.81
2010-10-22,85.57,85.91,84.42,85.56,909600,85.56
2010-10-21,85.59,87.47,84.90,85.55,1399000,85.55
2010-10-20,85.81,85.81,83.64,85.09,3117800,85.09
2010-10-19,84.26,88.15,84.22,85.60,2226000,85.60
2010-10-18,84.57,86.97,83.91,85.76,2830500,85.76
2010-10-15,85.58,85.82,83.28,84.39,1970200,84.39
2010-10-14,86.60,86.90,83.86,84.45,1505000,84.45
2010-10-13,84.57,87.41,84.52,86.65,2740200,86.65
2010-10-12,82.96,84.42,82.24,84.27,1818700,84.27
2010-10-11,82.80,84.63,82.80,83.06,1769800,83.06
2010-10-08,80.78,83.18,80.51,82.77,1221700,82.77
2010-10-07,82.33,82.54,79.50,80.56,1629900,80.56
2010-10-06,82.83,83.50,80.93,81.91,1338800,81.91
2010-10-05,80.92,83.67,79.86,83.03,2220600,83.03
2010-10-04,79.74,80.32,78.89,79.95,1279500,79.95
2010-10-01,81.78,82.26,79.33,80.20,1588900,80.20
2010-09-30,81.70,82.48,78.52,80.96,3054800,80.96
2010-09-29,78.75,81.80,78.32,80.75,2407300,80.75
2010-09-28,77.88,79.28,76.30,78.95,2533500,78.95
2010-09-27,79.47,79.47,77.56,77.72,1740500,77.72
2010-09-24,77.33,79.68,77.06,79.16,2109100,79.16
2010-09-23,75.36,78.10,75.07,75.87,2043800,75.87
2010-09-22,78.09,79.79,76.54,76.58,2585900,76.58
2010-09-21,80.50,81.61,78.04,78.47,2754000,78.47
2010-09-20,74.98,80.03,74.78,79.88,3578300,79.88
2010-09-17,72.92,74.69,72.59,74.49,2340700,74.49
2010-09-16,72.50,73.02,71.35,72.57,2340100,72.57
2010-09-15,72.08,72.83,71.51,72.77,2042500,72.77
2010-09-14,72.00,73.06,71.10,72.32,2472000,72.32
2010-09-13,74.31,74.67,71.00,71.62,3540000,71.62
2010-09-10,75.91,76.18,72.84,73.06,3255200,73.06
2010-09-09,78.51,79.02,75.45,75.80,1961100,75.80
2010-09-08,76.14,77.92,75.99,77.47,1893300,77.47
2010-09-07,78.43,78.56,75.65,75.98,1830900,75.98
