Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,56.67,58.01,56.67,57.35,4803100,57.35
2010-11-04,56.71,57.04,55.44,56.71,7246400,56.71
2010-11-03,55.15,57.74,54.50,56.05,7910700,56.05
2010-11-02,55.21,56.41,55.14,55.75,4622500,55.75
2010-11-01,54.64,55.19,54.26,54.72,3431400,54.72
2010-10-29,54.55,55.01,54.10,54.34,2515800,54.34
2010-10-28,55.33,55.39,54.30,54.61,2584400,54.61
2010-10-27,55.37,55.63,54.23,54.91,3976900,54.91
2010-10-26,56.39,56.64,55.67,55.94,3959800,55.94
2010-10-25,57.84,58.33,57.20,57.26,2237500,57.26
2010-10-22,56.68,57.70,56.68,57.54,1802000,57.54
2010-10-21,57.45,57.49,56.23,56.63,2868400,56.63
2010-10-20,56.32,57.57,56.24,57.22,3640900,57.22
2010-10-19,57.60,57.69,55.90,56.11,4264000,56.11
2010-10-18,57.75,58.39,57.34,58.39,2818900,58.39
2010-10-15,57.37,57.90,56.76,57.78,3660300,57.78
2010-10-14,56.83,58.13,56.27,57.06,4105100,57.06
2010-10-13,56.00,57.02,55.75,56.80,4961400,56.80
2010-10-12,55.18,55.76,54.84,55.66,2207800,55.66
2010-10-11,54.97,55.75,54.92,55.39,2150200,55.39
2010-10-08,55.08,55.40,54.55,55.01,1735900,55.01
2010-10-07,54.43,55.22,54.35,55.06,4173600,55.06
2010-10-06,55.09,55.44,52.93,54.34,7502100,54.34
2010-10-05,55.38,55.74,54.40,55.25,5437500,55.25
2010-10-04,55.92,55.92,54.55,54.88,3891900,54.88
2010-10-01,56.64,56.91,55.44,56.11,4573400,56.11
2010-09-30,56.50,57.16,56.10,56.64,4270400,56.64
2010-09-29,55.85,56.26,55.35,56.13,3127400,56.13
2010-09-28,56.14,56.35,55.38,56.23,3469500,56.23
2010-09-27,56.69,56.77,55.87,55.88,3295300,55.88
2010-09-24,57.01,57.49,56.50,56.69,4557900,56.69
2010-09-23,56.17,57.42,56.10,56.50,3731000,56.50
2010-09-22,55.67,56.86,55.34,56.64,4643700,56.64
2010-09-21,55.11,56.43,54.71,55.75,4836300,55.75
2010-09-20,54.11,55.21,54.11,54.96,4678600,54.96
2010-09-17,54.74,55.22,54.06,54.06,5647800,54.06
2010-09-16,54.61,54.75,54.12,54.70,3041200,54.70
2010-09-15,55.13,55.33,53.76,54.64,4439500,54.64
2010-09-14,55.10,55.84,54.40,55.45,3806900,55.45
2010-09-13,55.28,55.76,54.97,55.37,4400400,55.37
2010-09-10,54.45,55.25,54.16,54.83,3993900,54.83
2010-09-09,53.48,54.64,53.31,54.53,4567900,54.53
2010-09-08,52.50,53.09,52.26,52.91,2441800,52.91
2010-09-07,52.81,52.95,52.30,52.40,2393600,52.40
2010-09-03,52.16,53.27,52.06,53.25,3655600,53.25
2010-09-02,51.22,51.82,50.93,51.82,2445200,51.82
2010-09-01,50.28,51.05,49.91,50.88,3672300,50.88
2010-08-31,49.20,50.58,48.82,49.66,3994600,49.66
2010-08-30,50.71,50.91,49.60,49.60,1945300,49.60
2010-08-27,50.93,51.20,49.81,50.87,2416900,50.87
2010-08-26,51.33,52.29,50.56,50.64,3249400,50.64
2010-08-25,49.56,51.51,49.28,51.04,4358000,51.04
2010-08-24,49.15,49.94,48.61,49.68,4368100,49.68
2010-08-23,50.10,50.78,49.58,49.64,2494600,49.64
2010-08-20,50.13,50.29,49.17,49.89,3035600,49.89
2010-08-19,51.70,51.71,49.79,50.12,3827000,50.12
2010-08-18,52.48,52.62,51.71,51.98,2807900,51.98
2010-08-17,52.14,52.61,51.72,52.38,2805700,52.38
2010-08-16,51.37,51.80,50.78,51.62,2969800,51.62
2010-08-13,51.31,52.04,50.81,51.79,2322600,51.79
2010-08-12,50.86,51.95,50.72,51.58,3969500,51.58
2010-08-11,54.47,54.50,51.29,51.31,14100100,51.31
2010-08-10,54.85,55.46,54.56,55.02,3682600,55.02
2010-08-09,55.32,55.70,55.08,55.14,2459500,55.14
2010-08-06,54.58,55.14,54.22,55.05,3716600,55.05
2010-08-05,53.90,55.06,53.65,54.96,3402900,54.96
2010-08-04,53.41,54.35,53.13,54.24,4395900,54.24
2010-08-03,51.81,53.84,51.70,53.24,5206200,53.24
2010-08-02,51.12,52.10,50.97,52.01,4464700,52.01
2010-07-30,49.32,51.04,48.76,50.72,4321900,50.72
2010-07-29,51.18,51.46,49.45,49.88,5047900,49.88
2010-07-28,52.62,52.80,50.20,50.83,5779600,50.83
2010-07-27,53.30,53.87,52.64,52.80,3052800,52.80
2010-07-26,52.15,53.19,51.99,53.19,2364000,53.19
2010-07-23,52.18,52.46,51.63,51.99,2881600,51.99
2010-07-22,51.90,52.75,51.63,52.46,2669100,52.46
2010-07-21,52.69,52.91,51.20,51.49,3110100,51.49
2010-07-20,52.19,52.78,51.43,52.61,3477400,52.61
2010-07-19,51.63,52.73,51.63,52.49,3210000,52.49
2010-07-16,52.81,53.19,51.37,51.39,4127700,51.39
2010-07-15,51.74,53.16,51.48,53.15,4627400,53.15
2010-07-14,51.38,51.99,50.86,51.97,2752100,51.97
2010-07-13,51.77,51.94,51.38,51.61,3140600,51.61
2010-07-12,51.06,51.35,50.38,51.28,3470000,51.28
2010-07-09,49.90,51.18,49.67,51.17,3941800,51.17
2010-07-08,49.17,49.88,48.94,49.87,3022300,49.87
2010-07-07,48.31,49.00,48.21,48.91,3723500,48.91
2010-07-06,48.01,48.62,47.62,48.11,3705200,48.11
2010-07-02,48.01,48.09,47.11,47.43,3473700,47.43
2010-07-01,48.73,48.73,46.52,47.79,7295600,47.79
2010-06-30,49.54,49.71,48.86,48.93,4979300,48.93
2010-06-29,50.43,50.63,49.37,49.57,5118000,49.57
2010-06-28,51.91,51.98,50.78,50.79,3558800,50.79
2010-06-25,52.37,52.82,51.63,51.75,7671700,51.75
2010-06-24,52.79,53.32,52.10,52.37,3304700,52.37
2010-06-23,53.75,53.78,52.76,53.03,4099900,53.03
2010-06-22,55.16,55.56,53.62,53.72,5136200,53.72
2010-06-21,55.54,55.98,55.02,55.24,4184100,55.24
2010-06-18,55.02,55.35,54.80,55.22,6458200,55.22
2010-06-17,54.93,55.13,54.53,55.05,3798000,55.05
2010-06-16,53.54,54.95,53.50,54.71,4271900,54.71
2010-06-15,53.34,54.08,53.22,54.03,3749900,54.03
2010-06-14,52.92,53.89,52.71,53.10,3400800,53.10
2010-06-11,52.36,53.28,51.93,52.65,3746400,52.65
2010-06-10,53.00,53.33,52.26,52.79,4494200,52.79
2010-06-09,53.40,53.90,52.16,52.31,4695400,52.31
2010-06-08,53.73,54.28,52.60,53.27,6156200,53.27
2010-06-07,54.36,55.48,52.45,53.57,8954700,53.57
2010-06-04,53.70,56.34,53.69,54.14,8060500,54.14
2010-06-03,52.51,54.56,52.51,54.45,6149300,54.45
2010-06-02,51.11,52.41,50.87,52.37,4040200,52.37
2010-06-01,50.92,51.72,50.82,51.05,3860100,51.05
2010-05-28,51.80,51.84,51.16,51.30,2855400,51.30
2010-05-27,51.79,52.03,51.03,51.72,3248900,51.72
2010-05-26,50.86,51.68,50.73,50.89,5054300,50.89
2010-05-25,50.13,50.87,49.82,50.70,5216500,50.70
2010-05-24,50.99,51.72,50.60,51.10,4266300,51.10
2010-05-21,50.60,51.57,50.08,51.25,6164200,51.25
2010-05-20,52.36,52.78,51.13,51.17,6948000,51.17
2010-05-19,52.80,53.72,52.41,53.40,4244900,53.40
2010-05-18,53.68,54.40,52.99,53.08,4790500,53.08
2010-05-17,52.97,53.69,52.38,53.52,3931000,53.52
2010-05-14,52.78,53.18,52.15,53.09,3463900,53.09
2010-05-13,54.21,54.21,53.05,53.16,4188400,53.16
2010-05-12,52.31,54.06,51.65,54.04,5568300,54.04
2010-05-11,50.67,52.81,50.50,52.11,5368700,52.11
2010-05-10,52.68,53.00,50.43,51.14,8039100,51.14
2010-05-07,50.89,51.52,49.79,50.94,6543500,50.94
2010-05-06,52.40,53.34,49.10,51.30,6949900,51.30
2010-05-05,51.01,52.90,50.68,52.53,6335300,52.53
2010-05-04,53.24,53.53,51.82,52.60,8588500,52.60
2010-05-03,54.59,54.90,53.03,53.52,8863200,53.52
2010-04-30,58.08,58.14,53.50,53.80,18770900,53.80
2010-04-29,57.99,59.93,57.79,59.08,7866500,59.08
2010-04-28,55.43,58.19,55.23,57.45,8218100,57.45
2010-04-27,56.31,57.02,55.69,55.92,6182500,55.92
2010-04-26,58.29,58.41,56.12,56.56,7605100,56.56
2010-04-23,58.29,58.32,57.43,57.98,6426100,57.98
2010-04-22,58.35,58.56,57.40,58.41,4702800,58.41
2010-04-21,59.75,60.02,58.30,58.64,4945000,58.64
2010-04-20,61.49,61.49,59.39,59.84,6309900,59.84
2010-04-19,58.89,60.77,58.83,60.55,6357600,60.55
2010-04-16,58.36,59.35,58.22,59.08,8120100,59.08
2010-04-15,58.73,58.90,56.98,58.58,11739900,58.58
2010-04-14,59.79,60.00,58.62,58.96,7712600,58.96
2010-04-13,61.07,61.40,59.90,60.18,6152100,60.18
2010-04-12,61.18,61.64,61.00,61.34,4583700,61.34
2010-04-09,61.94,62.05,60.31,61.26,7036700,61.26
2010-04-08,63.05,63.21,61.54,62.09,7520400,62.09
2010-04-07,64.31,64.58,62.79,63.26,7326800,63.26
2010-04-06,64.98,65.81,64.61,64.61,3795700,64.61
2010-04-05,65.11,65.57,64.70,65.34,2962700,65.34
2010-04-01,64.47,64.84,64.18,64.71,3527900,64.71
2010-03-31,65.13,65.21,64.31,64.38,5289300,64.38
2010-03-30,64.25,65.15,63.84,64.69,3618400,64.69
2010-03-29,63.30,64.38,63.03,64.19,4434200,64.19
2010-03-26,63.81,63.91,63.03,63.05,3656500,63.05
2010-03-25,63.90,64.26,63.01,63.59,3414400,63.59
2010-03-24,63.31,64.17,63.09,63.40,5141200,63.40
2010-03-23,64.37,64.53,62.94,63.61,5986200,63.61
2010-03-22,65.21,66.33,64.12,64.39,8654700,64.39
2010-03-19,64.35,65.84,64.25,65.07,12464600,65.07
2010-03-18,61.69,64.30,60.82,63.82,10554100,63.82
2010-03-17,62.15,62.38,61.03,61.94,6469400,61.94
2010-03-16,61.43,62.02,60.67,61.97,4710100,61.97
2010-03-15,62.46,62.56,60.61,61.52,6408200,61.52
2010-03-12,63.95,63.95,62.19,62.58,5541500,62.58
2010-03-11,62.41,63.73,62.07,63.55,6307100,63.55
2010-03-10,61.25,62.92,61.25,62.48,6002200,62.48
2010-03-09,61.58,62.07,61.29,61.43,3654300,61.43
2010-03-08,62.13,62.75,61.62,61.96,4424000,61.96
2010-03-05,61.28,62.31,61.17,62.25,4360700,62.25
2010-03-04,62.23,62.23,60.07,61.23,8895200,61.23
2010-03-03,61.34,62.70,61.12,62.36,4413200,62.36
2010-03-02,61.27,62.89,61.19,61.90,5509600,61.90
2010-03-01,62.49,63.46,61.20,62.06,6988200,62.06
2010-02-26,61.49,62.99,61.49,61.87,7666100,61.87
2010-02-25,59.80,61.61,59.22,61.45,15277300,61.45
2010-02-24,59.34,60.37,58.50,60.14,6493800,60.14
2010-02-23,59.32,59.76,58.54,59.01,5930200,59.01
2010-02-22,58.35,59.78,57.91,59.44,8005200,59.44
2010-02-19,59.12,59.27,58.39,58.47,5993500,58.47
2010-02-18,59.11,59.88,58.25,59.11,6166400,59.11
2010-02-17,58.55,61.09,58.55,59.70,9182300,59.70
2010-02-16,59.28,59.57,56.99,58.46,9030900,58.46
2010-02-12,59.83,59.85,59.06,59.33,5727000,59.33
2010-02-11,60.00,60.58,59.35,60.52,5832300,60.52
