Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,35.82,35.90,35.18,35.51,3570100,35.51
2010-11-04,36.26,36.27,35.74,35.87,3906600,35.87
2010-11-03,36.00,36.06,35.64,35.95,3434600,35.95
2010-11-02,35.78,36.06,35.63,35.88,2102300,35.88
2010-11-01,35.85,36.17,35.38,35.55,3036200,35.55
2010-10-29,36.09,36.10,35.33,35.72,3851600,35.72
2010-10-28,36.30,36.49,35.81,36.13,3259300,36.13
2010-10-27,36.34,36.37,35.77,36.09,4422100,36.09
2010-10-26,36.56,36.87,36.49,36.50,3284000,36.50
2010-10-25,37.00,37.25,36.82,36.88,2092800,36.88
2010-10-22,36.87,36.90,36.63,36.79,1404800,36.79
2010-10-21,36.65,36.88,36.50,36.72,1908800,36.72
2010-10-20,36.15,36.73,36.13,36.54,1751300,36.54
2010-10-19,36.14,36.44,35.97,36.13,2267600,36.13
2010-10-18,36.65,36.75,36.31,36.47,2373600,36.47
2010-10-15,37.20,37.25,36.49,36.61,5315800,36.61
2010-10-14,37.02,37.11,36.75,36.91,2047400,36.91
2010-10-13,36.66,37.24,36.57,36.99,2773500,36.99
2010-10-12,36.42,36.62,36.02,36.53,2094500,36.53
2010-10-11,36.29,36.49,36.17,36.44,1574400,36.44
2010-10-08,36.15,36.46,36.00,36.35,2414600,36.35
2010-10-07,36.70,36.70,36.06,36.17,2594700,36.17
2010-10-06,36.33,36.65,36.30,36.55,1809400,36.55
2010-10-05,36.01,36.51,35.81,36.40,2469600,36.40
2010-10-04,35.92,36.02,35.46,35.75,1532800,35.75
2010-10-01,35.90,36.04,35.79,35.93,2057600,35.93
2010-09-30,36.00,36.24,35.59,35.74,2440600,35.74
2010-09-29,35.40,35.90,35.40,35.85,1798400,35.85
2010-09-28,35.47,35.68,35.08,35.58,1945400,35.58
2010-09-27,35.84,35.87,35.44,35.47,1842900,35.47
2010-09-24,35.55,35.83,35.45,35.76,1827300,35.76
2010-09-23,35.42,35.48,35.01,35.12,2052000,35.12
2010-09-22,35.51,35.92,35.45,35.62,2809700,35.62
2010-09-21,35.31,35.74,35.25,35.60,2132200,35.60
2010-09-20,35.06,35.38,34.91,35.31,2821400,35.31
2010-09-17,34.69,35.18,34.64,35.00,3992500,35.00
2010-09-16,34.48,34.64,34.36,34.54,1427700,34.54
2010-09-15,34.22,34.59,34.04,34.53,1677400,34.53
2010-09-14,34.15,34.46,33.97,34.27,1706000,34.27
2010-09-13,34.25,34.34,34.05,34.16,1525800,34.16
2010-09-10,33.85,34.17,33.80,34.00,1309400,34.00
2010-09-09,34.18,34.25,33.75,33.80,1920800,33.80
2010-09-08,33.90,34.07,33.81,33.92,2396800,33.92
2010-09-07,33.99,34.06,33.75,33.83,1520600,33.83
2010-09-03,33.88,34.19,33.75,34.11,1480700,34.11
2010-09-02,33.82,33.89,33.61,33.84,2012400,33.84
2010-09-01,33.42,34.19,33.33,34.00,3051800,33.68
2010-08-31,33.32,33.44,32.86,33.09,3140900,32.78
2010-08-30,33.61,33.74,33.37,33.43,1758800,33.12
2010-08-27,33.20,33.65,33.02,33.62,1536700,33.31
2010-08-26,33.25,33.42,33.01,33.09,1513400,32.78
2010-08-25,33.04,33.27,32.56,33.12,4336800,32.81
2010-08-24,33.29,33.65,32.89,33.17,2232000,32.86
2010-08-23,33.77,33.91,33.36,33.52,1809200,33.21
2010-08-20,33.41,33.67,33.17,33.60,1782400,33.29
2010-08-19,33.89,33.96,33.34,33.48,1821800,33.17
2010-08-18,33.94,34.15,33.71,33.96,1328300,33.65
2010-08-17,33.48,34.45,33.41,33.96,2603500,33.65
2010-08-16,32.83,33.30,32.58,33.25,1557500,32.94
2010-08-13,33.06,33.24,33.00,33.01,1241400,32.70
2010-08-12,32.92,33.21,32.83,33.10,2043400,32.79
2010-08-11,33.97,34.01,33.26,33.33,2118700,33.02
2010-08-10,34.31,34.53,34.06,34.32,1529500,34.00
2010-08-09,34.66,34.75,34.53,34.65,1172100,34.33
2010-08-06,34.23,34.57,34.08,34.57,2126600,34.25
2010-08-05,34.40,34.46,34.13,34.46,1823800,34.14
2010-08-04,34.43,34.60,34.33,34.59,1866100,34.27
2010-08-03,34.25,34.50,34.22,34.39,1824000,34.07
2010-08-02,34.37,34.49,34.08,34.46,2167800,34.14
2010-07-30,33.87,34.16,33.26,33.95,4020400,33.64
2010-07-29,34.24,34.45,33.66,34.25,2299800,33.93
2010-07-28,34.23,34.23,33.87,34.12,2839300,33.80
2010-07-27,34.35,34.35,33.96,34.13,2425800,33.81
2010-07-26,33.70,34.14,33.60,34.12,2038900,33.80
2010-07-23,33.35,33.63,33.18,33.59,2123200,33.28
2010-07-22,32.74,33.39,32.74,33.35,2611600,33.04
2010-07-21,32.80,32.95,32.49,32.61,3985000,32.31
2010-07-20,32.20,32.69,31.98,32.68,2515200,32.38
2010-07-19,32.50,32.65,32.26,32.47,1952900,32.17
2010-07-16,32.93,33.12,32.33,32.44,2599300,32.14
2010-07-15,33.11,33.24,32.71,33.18,2259000,32.87
2010-07-14,33.04,33.09,32.68,33.06,1868700,32.75
2010-07-13,33.03,33.25,32.86,33.15,2277300,32.84
2010-07-12,32.76,32.92,32.60,32.74,2082700,32.44
2010-07-09,32.96,35.87,32.41,32.78,2363000,32.48
2010-07-08,32.80,32.94,32.53,32.88,2126300,32.58
2010-07-07,31.72,32.50,31.55,32.48,2487100,32.18
2010-07-06,32.01,32.15,31.50,31.73,3232100,31.44
2010-07-02,31.65,32.06,31.63,31.81,4334600,31.52
2010-07-01,31.25,31.83,31.22,31.65,5582500,31.36
2010-06-30,31.48,31.79,31.22,31.29,3160100,31.00
2010-06-29,31.91,31.99,31.27,31.46,3417600,31.17
2010-06-28,32.39,32.56,32.02,32.30,2460400,32.00
2010-06-25,32.28,32.38,31.91,32.15,8698400,31.85
2010-06-24,32.57,32.75,32.08,32.14,3687600,31.84
2010-06-23,33.14,33.21,32.51,32.67,3236600,32.37
2010-06-22,33.51,33.78,33.00,33.04,2216200,32.73
2010-06-21,33.77,34.12,33.37,33.55,2554000,33.24
