Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,22.20,22.37,22.00,22.34,5942400,22.34
2010-11-04,21.72,22.25,21.63,22.23,7546900,22.23
2010-11-03,21.56,21.61,20.98,21.43,5528400,21.43
2010-11-02,21.33,21.75,21.26,21.57,6308300,21.57
2010-11-01,21.64,21.69,21.04,21.18,7703700,21.18
2010-10-29,20.96,21.61,20.91,21.51,10129800,21.51
2010-10-28,20.44,21.65,20.38,21.15,16034500,21.15
2010-10-27,20.28,20.77,20.20,20.71,10258900,20.71
2010-10-26,20.42,20.87,20.40,20.44,11327100,20.44
2010-10-25,21.20,21.36,20.81,20.83,6492200,20.83
2010-10-22,21.28,21.41,20.92,20.99,4519900,20.99
2010-10-21,21.49,21.64,20.95,21.19,6887700,21.19
2010-10-20,21.10,21.71,21.10,21.38,8642500,21.38
2010-10-19,21.17,21.36,20.86,21.01,10072500,21.01
2010-10-18,21.28,21.59,21.07,21.51,6274000,21.51
2010-10-15,21.48,21.49,21.00,21.24,12663800,21.24
2010-10-14,21.50,21.64,21.08,21.29,7224000,21.29
2010-10-13,20.12,22.24,20.02,21.53,34183200,21.53
2010-10-12,19.63,19.70,19.35,19.61,3666600,19.61
2010-10-11,19.78,19.92,19.65,19.71,2575600,19.71
2010-10-08,19.40,19.78,19.31,19.72,5215100,19.72
2010-10-07,19.47,19.47,19.06,19.32,5256100,19.32
2010-10-06,19.21,19.49,19.07,19.32,5562400,19.32
2010-10-05,19.26,19.38,19.09,19.27,6565400,19.27
2010-10-04,19.30,19.37,18.88,19.02,4734800,19.02
2010-10-01,19.11,19.50,19.02,19.37,5585900,19.37
2010-09-30,19.21,19.30,18.90,19.11,5634500,19.11
2010-09-29,18.80,19.15,18.76,19.06,3507100,19.06
2010-09-28,18.78,18.93,18.50,18.89,2869300,18.89
2010-09-27,18.82,18.96,18.73,18.73,2689800,18.73
2010-09-24,18.75,19.13,18.52,18.85,5827500,18.85
2010-09-23,18.40,18.74,18.37,18.50,4866600,18.50
2010-09-22,18.76,18.97,18.65,18.65,4774800,18.65
2010-09-21,18.92,19.02,18.63,18.81,5120600,18.81
2010-09-20,18.44,18.95,18.43,18.86,6268700,18.86
2010-09-17,18.48,18.58,18.17,18.40,8241800,18.40
2010-09-16,18.43,18.74,18.14,18.44,13439300,18.44
2010-09-15,19.13,19.23,18.98,19.10,4900900,19.10
2010-09-14,19.58,19.70,19.32,19.34,4560600,19.34
2010-09-13,19.48,19.70,19.34,19.68,6090600,19.68
2010-09-10,19.33,19.41,19.23,19.26,4087600,19.26
2010-09-09,19.45,19.49,19.16,19.28,4141300,19.28
2010-09-08,19.05,19.29,19.03,19.21,7459500,19.21
2010-09-07,19.10,19.18,18.89,19.00,6362200,19.00
2010-09-03,19.28,19.44,19.09,19.32,5060800,19.32
2010-09-02,18.83,19.16,18.75,19.13,3584800,19.13
2010-09-01,18.44,18.91,18.34,18.86,6362400,18.86
2010-08-31,18.09,18.33,17.97,18.13,6263800,18.13
2010-08-30,18.47,18.63,18.17,18.17,5049500,18.17
2010-08-27,18.28,18.53,17.84,18.51,5788900,18.51
2010-08-26,18.29,18.59,18.08,18.16,6756500,18.16
2010-08-25,17.92,18.21,17.72,18.16,5355200,18.16
2010-08-24,18.20,18.35,18.01,18.09,5781500,17.96
2010-08-23,18.70,18.95,18.48,18.49,3879000,18.36
2010-08-20,18.75,18.86,18.50,18.65,5036700,18.52
2010-08-19,19.29,19.31,18.84,18.90,8313500,18.77
2010-08-18,19.63,19.72,19.30,19.38,5551000,19.25
2010-08-17,19.65,19.78,19.56,19.69,4036300,19.55
2010-08-16,19.42,19.57,19.13,19.44,3054900,19.31
2010-08-13,19.37,19.68,19.37,19.44,2939000,19.31
2010-08-12,19.39,19.61,19.28,19.45,3689800,19.32
2010-08-11,20.07,20.09,19.51,19.62,4857400,19.48
2010-08-10,20.50,20.57,20.24,20.48,4339500,20.34
2010-08-09,20.91,21.00,20.68,20.77,3723100,20.63
2010-08-06,20.51,20.90,20.47,20.84,7988000,20.70
2010-08-05,20.37,20.81,20.14,20.80,7784700,20.66
2010-08-04,20.28,20.56,20.17,20.49,4825800,20.35
2010-08-03,20.18,20.35,20.00,20.26,4617900,20.12
2010-08-02,19.95,20.26,19.72,20.19,5570400,20.05
2010-07-30,18.87,19.54,18.74,19.41,6595400,19.28
2010-07-29,18.56,19.39,18.56,19.14,8376200,19.01
2010-07-28,19.70,19.86,19.37,19.45,5505200,19.32
2010-07-27,19.88,19.94,19.56,19.74,4999400,19.60
2010-07-26,19.57,19.96,19.57,19.83,5168400,19.69
2010-07-23,19.46,19.74,19.25,19.66,3737100,19.52
2010-07-22,19.28,19.68,19.17,19.52,4595600,19.39
2010-07-21,19.34,19.34,18.78,19.01,5624800,18.88
2010-07-20,18.44,19.30,18.38,19.23,5365300,19.10
2010-07-19,18.81,18.95,18.48,18.75,3713200,18.62
2010-07-16,19.04,19.12,18.56,18.67,6450700,18.54
2010-07-15,19.28,19.37,18.80,19.28,5256900,19.15
2010-07-14,19.31,19.45,19.13,19.29,4739700,19.16
2010-07-13,19.43,19.60,19.31,19.47,6185600,19.34
2010-07-12,19.05,19.27,18.87,19.22,5676700,19.09
2010-07-09,19.09,19.20,18.90,19.13,3592700,19.00
2010-07-08,19.03,19.14,18.70,19.10,7453900,18.97
2010-07-07,17.80,18.80,17.80,18.78,10934300,18.65
2010-07-06,17.99,18.21,17.63,17.83,8272300,17.71
2010-07-02,17.90,18.19,17.53,17.67,7227200,17.55
2010-07-01,18.31,18.45,17.57,17.90,11674800,17.78
2010-06-30,18.70,18.80,18.18,18.28,7766500,18.15
2010-06-29,19.21,19.21,18.35,18.51,11394300,18.38
2010-06-28,19.75,19.88,19.37,19.43,6351200,19.30
2010-06-25,19.85,20.04,19.46,19.82,10459700,19.68
2010-06-24,20.11,20.18,19.70,19.79,5952300,19.65
2010-06-23,20.32,20.37,19.89,20.15,6388000,20.01
2010-06-22,21.19,21.32,20.19,20.27,8271000,20.13
2010-06-21,21.75,21.81,21.03,21.18,5829000,21.03
2010-06-18,21.44,21.68,21.13,21.42,9174300,21.27
2010-06-17,21.17,21.25,20.82,21.07,6877700,20.92
2010-06-16,20.89,21.18,20.76,20.90,8851300,20.76
2010-06-15,20.22,21.14,20.20,21.08,8507300,20.93
2010-06-14,20.27,20.38,19.91,19.94,5634900,19.80
2010-06-11,19.58,20.03,19.55,20.02,4599500,19.88
2010-06-10,19.58,19.98,19.45,19.96,7744100,19.82
2010-06-09,19.39,19.96,19.07,19.17,7491000,19.04
2010-06-08,18.75,19.27,18.65,19.23,8524200,18.97
2010-06-07,19.39,19.53,18.76,18.80,7220500,18.55
2010-06-04,19.63,20.07,19.15,19.24,8641400,18.98
2010-06-03,19.45,20.16,19.31,20.11,7797200,19.84
2010-06-02,19.10,19.49,18.95,19.49,8860900,19.23
2010-06-01,19.48,19.67,18.86,18.89,6204700,18.64
2010-05-28,20.07,20.30,19.67,19.75,6258700,19.49
2010-05-27,19.78,20.14,19.70,20.12,6679500,19.85
2010-05-26,19.46,19.79,19.20,19.28,8065000,19.02
2010-05-25,18.16,19.15,18.16,19.13,9752600,18.87
2010-05-24,19.28,19.46,19.01,19.01,7298500,18.76
2010-05-21,18.59,19.54,18.50,19.40,9471900,19.14
2010-05-20,19.74,19.74,19.00,19.11,11213900,18.85
2010-05-19,20.65,20.77,19.85,20.20,12213100,19.93
2010-05-18,21.44,21.76,20.69,20.84,6843100,20.56
2010-05-17,21.72,21.86,20.70,21.14,8001900,20.86
2010-05-14,22.01,22.21,21.27,21.64,8314600,21.35
2010-05-13,22.33,22.57,22.01,22.25,6436600,21.95
2010-05-12,22.01,22.55,21.93,22.41,7480200,22.11
2010-05-11,21.03,22.02,21.03,21.81,10286100,21.52
2010-05-10,21.28,21.58,21.02,21.48,9199000,21.19
2010-05-07,21.04,21.44,20.04,20.33,15036500,20.06
2010-05-06,22.03,22.28,20.11,21.05,13971200,20.77
2010-05-05,22.90,22.98,22.05,22.22,9548200,21.92
2010-05-04,23.64,23.80,23.17,23.33,6740000,23.02
2010-05-03,23.78,24.33,23.78,24.13,5367600,23.81
2010-04-30,23.85,23.99,23.39,23.61,5786100,23.29
2010-04-29,23.86,24.10,23.67,23.77,3990400,23.45
2010-04-28,23.47,23.77,23.36,23.68,5238500,23.36
2010-04-27,24.30,24.37,23.48,23.53,5434200,23.22
2010-04-26,24.66,24.66,24.33,24.46,3855200,24.13
2010-04-23,23.73,24.53,23.71,24.50,4606200,24.17
2010-04-22,23.41,23.82,23.19,23.74,5936800,23.42
2010-04-21,24.06,24.06,23.52,23.68,3855600,23.36
2010-04-20,23.88,24.04,23.80,23.92,3821400,23.60
2010-04-19,23.32,23.66,23.17,23.66,3791300,23.34
2010-04-16,24.11,24.23,23.34,23.57,7358400,23.25
2010-04-15,24.09,24.35,24.01,24.23,3756700,23.91
2010-04-14,24.02,24.23,23.80,24.20,3652700,23.88
2010-04-13,24.11,24.17,23.75,23.98,3031000,23.66
2010-04-12,24.18,24.50,24.03,24.22,3755900,23.90
2010-04-09,24.03,24.23,23.98,24.12,3730000,23.80
