Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,55.45,55.72,54.90,55.20,10261400,55.20
2010-11-04,55.00,55.50,54.95,55.36,13246800,55.36
2010-11-03,54.77,54.95,54.22,54.91,9189200,54.91
2010-11-02,54.55,54.99,54.49,54.79,8849200,54.79
2010-11-01,54.05,54.50,54.02,54.31,8207500,54.31
2010-10-29,54.04,54.59,53.61,54.17,8032900,54.17
2010-10-28,54.19,54.23,53.59,54.08,8183600,54.08
2010-10-27,54.24,54.63,53.55,53.87,13020300,53.87
2010-10-26,53.84,54.73,53.83,54.56,10293600,54.56
2010-10-25,54.18,54.40,53.90,53.95,7963100,53.95
2010-10-22,53.96,54.10,53.86,54.06,5795500,54.06
2010-10-21,53.69,54.34,53.59,54.03,9575200,54.03
2010-10-20,53.29,53.84,53.25,53.47,9742300,53.47
2010-10-19,53.45,53.76,53.13,53.32,10225000,53.32
2010-10-18,53.25,53.90,53.25,53.76,9229900,53.76
2010-10-15,53.36,53.58,53.02,53.35,12559000,53.35
2010-10-14,53.87,53.87,52.93,53.25,15523100,53.25
2010-10-13,54.18,54.52,53.73,53.82,13613600,53.82
2010-10-12,54.45,54.45,53.75,53.92,15034800,53.92
2010-10-11,54.52,54.74,54.43,54.61,7037300,54.61
2010-10-08,54.35,54.59,54.02,54.41,8793600,54.41
2010-10-07,54.66,54.82,54.04,54.36,7769800,54.36
2010-10-06,53.92,54.63,53.90,54.56,10396100,54.56
2010-10-05,53.94,54.25,53.83,54.00,10216000,54.00
2010-10-04,53.34,53.70,53.14,53.57,7122800,53.57
2010-10-01,53.60,53.62,53.20,53.36,8229400,53.36
2010-09-30,53.53,53.99,53.14,53.52,10901000,53.52
2010-09-29,53.80,53.81,53.11,53.35,9864100,53.35
2010-09-28,53.53,53.99,53.05,53.82,11147300,53.82
2010-09-27,53.91,54.01,53.47,53.48,8662200,53.48
2010-09-24,53.95,54.39,53.84,54.08,9768400,54.08
2010-09-23,53.73,53.92,53.53,53.65,7291200,53.65
2010-09-22,53.52,54.00,53.45,53.82,9910000,53.82
2010-09-21,53.52,53.96,53.32,53.57,9425100,53.57
2010-09-20,53.10,53.67,53.09,53.54,9260100,53.54
2010-09-17,53.17,53.33,52.88,53.01,20799800,53.01
2010-09-16,52.66,53.28,52.55,53.15,10742700,53.15
2010-09-15,52.47,53.10,52.41,52.86,10198100,52.86
2010-09-14,52.16,53.03,52.15,52.66,11201400,52.66
2010-09-13,52.25,52.47,52.01,52.21,7868000,52.21
2010-09-10,51.90,52.07,51.72,51.97,8160400,51.97
2010-09-09,52.06,52.10,51.84,51.91,7289700,51.91
2010-09-08,51.89,51.98,51.52,51.83,8947600,51.83
2010-09-07,52.07,52.56,51.84,51.86,10583800,51.86
2010-09-03,51.86,52.09,51.55,52.04,9613100,52.04
2010-09-02,51.12,51.81,51.12,51.76,11206100,51.76
2010-09-01,50.49,51.43,50.46,51.20,13431500,51.20
2010-08-31,50.51,51.10,50.12,50.14,25359400,50.14
2010-08-30,51.02,51.25,50.53,50.55,8502500,50.55
2010-08-27,51.02,51.25,50.72,51.00,11935000,51.00
2010-08-26,51.62,51.62,50.75,50.97,11898700,50.97
2010-08-25,51.25,51.79,51.09,51.55,14842400,51.55
2010-08-24,50.67,51.72,50.60,51.30,16700800,51.30
2010-08-23,50.57,51.50,50.39,51.14,14657800,51.14
2010-08-20,50.17,50.47,50.03,50.22,11701700,50.22
2010-08-19,50.70,50.96,50.00,50.06,15634100,50.06
2010-08-18,51.00,51.32,50.62,50.86,15745000,50.86
2010-08-17,50.79,51.62,50.66,51.02,16315500,51.02
2010-08-16,50.17,50.57,50.06,50.41,9648700,50.41
2010-08-13,50.33,50.74,50.00,50.40,10095300,50.40
2010-08-12,50.56,50.78,50.01,50.43,12796900,50.43
2010-08-11,51.62,51.62,50.98,51.02,11306300,51.02
2010-08-10,51.91,52.48,51.69,52.22,8845800,51.92
2010-08-09,51.83,52.34,51.80,52.06,8265400,51.76
2010-08-06,51.42,51.79,51.11,51.79,8270300,51.49
2010-08-05,51.64,51.67,51.22,51.62,7439000,51.32
2010-08-04,51.04,51.71,51.01,51.60,8068900,51.30
2010-08-03,51.25,51.65,51.03,51.29,10668600,50.99
2010-08-02,51.55,51.70,50.95,51.41,13861000,51.11
2010-07-30,50.61,51.25,50.50,51.19,13551400,50.89
2010-07-29,51.23,51.78,50.80,51.06,9630500,50.76
2010-07-28,50.80,51.39,50.80,51.13,9328500,50.83
2010-07-27,50.80,51.30,50.66,50.96,12295200,50.66
2010-07-26,51.67,51.67,50.91,51.13,14112100,50.83
2010-07-23,50.91,51.81,50.90,51.67,13046400,51.37
2010-07-22,50.55,51.09,50.51,50.86,11984200,50.56
2010-07-21,51.00,51.00,50.11,50.35,12311100,50.06
2010-07-20,49.26,51.03,49.26,50.88,16283900,50.58
2010-07-19,49.72,49.81,49.09,49.52,11896000,49.23
2010-07-16,50.15,50.33,49.52,49.67,15922200,49.38
2010-07-15,50.34,50.44,49.91,50.41,12255600,50.12
2010-07-14,50.05,50.36,50.04,50.35,10708300,50.06
2010-07-13,50.35,50.69,50.10,50.54,13219800,50.25
2010-07-12,49.78,50.33,49.68,50.12,13440900,49.83
2010-07-09,49.25,49.55,49.15,49.43,11607200,49.14
2010-07-08,49.32,49.32,48.79,49.18,12650000,48.89
2010-07-07,48.66,48.97,48.16,48.92,16176200,48.64
2010-07-06,49.34,49.44,48.26,48.57,18225600,48.29
2010-07-02,48.44,48.44,47.84,48.00,13581300,47.72
2010-07-01,48.10,48.41,47.77,48.34,18114400,48.06
2010-06-30,48.96,48.97,48.01,48.07,18388800,47.79
2010-06-29,49.17,49.26,48.43,48.90,20350800,48.62
2010-06-28,49.06,49.77,49.01,49.57,14697200,49.28
2010-06-25,49.95,50.20,48.80,48.80,45333200,48.52
2010-06-24,50.73,50.83,49.95,50.03,14819200,49.74
2010-06-23,50.76,51.04,50.40,50.81,15945900,50.52
2010-06-22,51.07,51.47,50.60,50.68,13658200,50.39
2010-06-21,51.71,51.88,50.71,51.02,14655200,50.72
2010-06-18,51.41,51.91,51.41,51.55,25425800,51.25
2010-06-17,51.05,51.49,50.96,51.41,12667300,51.11
2010-06-16,51.50,51.58,50.92,50.98,15900700,50.68
2010-06-15,51.20,51.65,51.06,51.64,14310800,51.34
2010-06-14,51.11,51.46,50.89,51.24,13900100,50.94
2010-06-11,50.97,51.27,50.55,50.86,14027400,50.56
2010-06-10,51.21,51.68,51.06,51.22,15850500,50.92
2010-06-09,50.96,51.36,50.59,50.99,16530900,50.69
2010-06-08,50.79,50.98,50.53,50.78,20315500,50.49
2010-06-07,50.46,51.37,50.32,50.74,19500600,50.45
2010-06-04,51.41,51.70,50.22,50.40,24041900,50.11
2010-06-03,51.73,52.08,51.48,51.72,10509100,51.42
2010-06-02,51.23,51.74,51.02,51.72,13665800,51.42
2010-06-01,50.80,51.51,50.52,50.92,16053600,50.62
2010-05-28,50.75,50.93,50.50,50.56,14019500,50.27
2010-05-27,50.52,50.73,50.32,50.70,13980400,50.41
2010-05-26,50.36,50.60,50.01,50.02,19078100,49.73
2010-05-25,50.25,50.50,50.00,50.28,24062400,49.99
2010-05-24,51.04,51.54,50.90,51.00,13557800,50.70
2010-05-21,50.73,51.37,50.51,51.37,24548600,51.07
2010-05-20,52.37,52.96,51.30,51.30,27256000,51.00
2010-05-19,53.53,53.76,52.79,53.04,20418700,52.73
2010-05-18,53.32,54.45,53.20,53.71,32227700,53.40
2010-05-17,52.41,52.92,52.04,52.73,16945400,52.42
2010-05-14,52.41,52.70,52.02,52.12,18648300,51.82
2010-05-13,52.63,52.97,52.36,52.40,12458000,52.10
2010-05-12,52.50,52.56,52.13,52.48,13610100,52.18
2010-05-11,52.35,52.77,52.17,52.46,19623300,51.85
2010-05-10,53.06,53.24,51.83,52.58,27090300,51.97
2010-05-07,53.04,53.62,51.80,52.40,28945100,51.80
2010-05-06,54.35,54.78,51.53,53.23,24067500,52.62
2010-05-05,54.11,54.95,53.82,54.77,16609900,54.14
2010-05-04,53.59,54.57,53.55,54.02,18670900,53.40
2010-05-03,53.88,53.95,53.47,53.74,12301000,53.12
2010-04-30,53.82,54.15,53.64,53.64,16279400,53.02
2010-04-29,53.66,54.23,53.55,53.70,13320000,53.08
2010-04-28,53.92,54.10,53.52,53.61,14904200,52.99
2010-04-27,53.60,54.42,53.53,54.04,19174600,53.42
2010-04-26,54.53,54.70,54.01,54.04,14751000,53.42
2010-04-23,54.47,54.61,53.92,54.53,16595800,53.90
2010-04-22,54.37,54.65,54.15,54.49,10921200,53.86
2010-04-21,54.44,54.57,54.18,54.47,11499300,53.84
2010-04-20,54.49,54.82,54.38,54.52,9092300,53.89
2010-04-19,54.00,54.48,54.00,54.39,11315600,53.76
2010-04-16,54.11,54.59,53.84,54.11,19232000,53.49
2010-04-15,54.15,54.36,53.92,54.13,17659300,53.51
2010-04-14,54.63,54.91,54.34,54.64,14686900,54.01
2010-04-13,54.91,55.21,54.66,54.72,12851100,54.09
2010-04-12,55.02,55.10,54.58,55.02,11954300,54.38
2010-04-09,55.38,55.38,54.63,55.07,12535100,54.43
2010-04-08,55.29,55.70,55.16,55.38,11139700,54.74
2010-04-07,55.50,55.90,55.14,55.28,12935200,54.64
2010-04-06,55.44,55.63,55.29,55.53,9567200,54.89
