Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.00,17.58,16.93,17.50,5631600,17.50
2010-11-04,16.62,17.05,16.55,17.00,5434100,17.00
2010-11-03,16.42,16.61,16.20,16.42,4992600,16.42
2010-11-02,16.51,16.55,16.33,16.41,2826200,16.36
2010-11-01,16.37,16.58,16.18,16.35,4181200,16.30
2010-10-29,15.86,16.34,15.84,16.22,6649600,16.17
2010-10-28,15.90,15.99,15.48,15.69,3881900,15.64
2010-10-27,15.68,15.81,15.65,15.81,3076300,15.76
2010-10-26,15.86,15.90,15.59,15.79,5822900,15.74
2010-10-25,15.84,16.00,15.72,15.99,5141500,15.94
2010-10-22,15.57,15.73,15.53,15.72,3152600,15.67
2010-10-21,15.38,15.62,15.32,15.52,4104700,15.47
2010-10-20,15.28,15.43,15.16,15.30,4604300,15.25
2010-10-19,15.21,15.51,15.10,15.23,5203800,15.18
2010-10-18,15.52,15.59,15.28,15.32,6310200,15.27
2010-10-15,15.87,15.87,15.36,15.52,6218800,15.47
2010-10-14,15.88,15.94,15.62,15.76,4633000,15.71
2010-10-13,15.95,16.17,15.81,16.01,4784600,15.96
2010-10-12,15.81,15.90,15.60,15.84,3561000,15.79
2010-10-11,15.81,15.95,15.71,15.75,2286000,15.70
2010-10-08,15.96,16.01,15.75,15.82,4183900,15.77
2010-10-07,16.11,16.15,15.84,15.94,2840300,15.89
2010-10-06,16.06,16.11,15.90,16.06,3759700,16.01
2010-10-05,16.00,16.17,15.85,16.13,4715800,16.08
2010-10-04,15.98,16.15,15.71,15.78,4890600,15.73
2010-10-01,16.00,16.18,15.88,16.09,4737800,16.04
2010-09-30,16.31,16.31,15.67,15.76,14831300,15.71
2010-09-29,16.35,16.41,16.08,16.13,3878100,16.08
2010-09-28,16.35,16.46,16.11,16.38,4285600,16.33
2010-09-27,16.33,16.52,16.21,16.38,4481300,16.33
2010-09-24,15.98,16.37,15.95,16.33,6361800,16.28
2010-09-23,15.65,15.95,15.50,15.80,6243000,15.75
2010-09-22,15.36,15.83,15.33,15.79,8498000,15.74
2010-09-21,15.75,15.80,15.28,15.40,8865500,15.35
2010-09-20,16.04,16.04,15.60,15.60,7698000,15.55
2010-09-17,15.85,16.05,15.65,15.97,6092000,15.92
2010-09-16,15.89,16.00,15.65,15.84,3937400,15.79
2010-09-15,16.03,16.15,15.80,15.93,5778600,15.88
2010-09-14,16.29,16.39,15.97,16.09,4989800,16.04
2010-09-13,16.49,16.59,16.21,16.35,5369600,16.30
2010-09-10,16.18,16.36,16.10,16.28,3882900,16.23
2010-09-09,16.32,16.41,16.04,16.18,5212900,16.13
2010-09-08,15.72,16.16,15.65,15.99,6117800,15.94
2010-09-07,16.24,16.26,15.79,15.87,8169600,15.82
2010-09-03,16.52,16.69,16.36,16.39,7804900,16.34
