Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.62,48.75,47.40,48.55,15844200,48.55
2010-11-04,46.50,47.40,46.42,47.33,12874000,47.33
2010-11-03,45.00,45.90,44.71,45.67,13571400,45.67
2010-11-02,44.10,45.10,44.05,44.85,13009200,44.85
2010-11-01,43.10,43.88,42.86,43.29,11637900,43.29
2010-10-29,40.31,42.79,40.25,42.72,15156800,42.72
2010-10-28,40.53,40.53,39.98,40.47,8886800,40.47
2010-10-27,40.42,40.80,39.84,40.25,11776000,40.25
2010-10-26,40.09,41.14,39.78,40.85,19560000,40.85
2010-10-25,42.75,42.80,41.91,42.27,10869000,42.27
2010-10-22,42.35,42.57,41.57,42.28,8285700,42.28
2010-10-21,43.25,43.30,41.30,42.23,13627500,42.23
2010-10-20,42.83,43.50,42.45,43.08,9777000,43.08
2010-10-19,43.52,43.60,42.15,42.51,15291100,42.51
2010-10-18,43.36,44.44,43.20,44.31,9114300,44.31
2010-10-15,44.32,44.40,43.10,43.68,10783100,43.68
2010-10-14,44.82,44.90,43.51,43.86,10540500,43.86
2010-10-13,45.34,45.48,44.07,44.89,14469800,44.89
2010-10-12,44.89,44.96,44.27,44.83,11301700,44.83
2010-10-11,46.04,46.65,45.33,45.62,8841400,45.62
2010-10-08,44.66,46.20,44.52,45.92,14201800,45.92
2010-10-07,44.53,44.64,43.45,44.46,13062800,44.46
2010-10-06,42.90,44.43,42.85,44.08,13052600,44.08
2010-10-05,43.11,43.44,42.05,43.00,13990900,43.00
2010-10-04,43.11,43.11,41.89,42.42,11985600,42.42
2010-10-01,44.72,44.95,43.21,43.63,12299200,43.63
2010-09-30,44.95,45.13,43.33,43.84,11209400,43.84
2010-09-29,43.31,44.67,43.13,44.31,11449400,44.31
2010-09-28,43.05,43.78,42.59,43.66,10514800,43.66
2010-09-27,43.47,43.47,42.65,42.79,9344000,42.79
2010-09-24,42.91,43.32,42.46,43.23,15472700,43.23
2010-09-23,42.98,43.33,41.80,42.00,18815200,42.00
2010-09-22,45.46,46.00,43.41,43.49,17191700,43.49
2010-09-21,45.52,45.60,44.51,44.99,12964300,44.99
2010-09-20,45.50,45.66,44.35,45.44,14728600,45.44
2010-09-17,47.01,47.03,46.00,46.20,8778700,46.20
2010-09-16,45.52,46.99,45.50,46.49,11018800,46.49
2010-09-15,46.55,46.72,45.40,45.78,15465100,45.78
2010-09-14,47.35,47.69,46.53,46.83,14828400,46.83
2010-09-13,48.52,48.90,48.00,48.31,9403000,48.31
2010-09-10,46.79,47.89,46.05,47.45,9691100,47.45
2010-09-09,48.99,49.06,46.06,46.91,16185500,46.91
2010-09-08,48.37,49.14,47.94,48.09,15552600,48.09
2010-09-07,45.85,48.75,45.80,48.09,25123200,48.09
2010-09-03,46.35,46.50,45.61,45.99,9552400,45.99
2010-09-02,44.65,45.60,43.96,45.30,9605300,45.30
2010-09-01,44.03,44.67,43.50,44.44,10529600,44.44
2010-08-31,41.68,43.65,41.68,42.49,12142300,42.49
2010-08-30,43.44,43.81,41.87,41.91,10236100,41.91
2010-08-27,42.71,43.91,41.50,43.71,12497000,43.71
2010-08-26,43.43,43.73,41.86,42.00,10084500,42.00
2010-08-25,43.19,43.58,42.10,42.82,14193000,42.82
2010-08-24,44.27,44.99,43.44,43.53,13290700,43.53
2010-08-23,47.31,47.66,45.57,45.63,10826400,45.63
2010-08-20,47.70,47.87,46.01,47.06,14370000,47.06
2010-08-19,50.59,51.39,47.66,47.78,23163800,47.78
2010-08-18,47.24,50.59,46.77,49.59,28167800,49.59
2010-08-17,46.44,48.19,46.27,47.32,11463700,47.32
2010-08-16,45.11,46.22,44.80,45.40,7281700,45.40
2010-08-13,45.22,46.13,44.99,45.10,8060100,45.10
2010-08-12,44.26,45.67,44.10,45.14,9414800,45.14
2010-08-11,46.26,46.79,45.10,45.32,9336700,45.32
2010-08-10,48.06,48.20,47.14,47.80,10139300,47.80
2010-08-09,49.09,49.15,48.34,48.86,7052900,48.86
2010-08-06,47.08,48.67,47.04,48.50,11981100,48.45
2010-08-05,47.82,47.96,47.24,47.67,7297000,47.62
2010-08-04,47.34,48.22,46.96,48.08,11259700,48.03
2010-08-03,46.77,47.98,46.62,47.00,10593900,46.95
2010-08-02,45.50,47.15,45.15,46.81,13220400,46.76
2010-07-30,43.17,44.89,42.97,44.33,11967700,44.28
2010-07-29,44.87,45.15,43.00,43.77,13941000,43.72
2010-07-28,45.23,45.76,44.02,44.37,14747200,44.32
2010-07-27,47.70,47.99,45.00,45.76,24728400,45.71
2010-07-26,49.03,49.70,47.93,48.89,15187500,48.84
2010-07-23,47.08,48.94,46.53,48.90,17263600,48.85
2010-07-22,46.05,47.27,45.55,46.72,13138500,46.67
2010-07-21,45.56,46.68,44.51,44.79,18269000,44.74
2010-07-20,40.43,44.48,40.43,44.29,17013800,44.24
2010-07-19,41.92,42.05,40.71,41.22,7822800,41.18
2010-07-16,42.51,42.74,41.20,41.36,9223400,41.32
2010-07-15,42.99,43.06,41.84,42.92,10716100,42.88
2010-07-14,42.51,43.68,41.56,43.30,14356600,43.26
2010-07-13,42.92,43.09,41.98,42.59,11452800,42.55
2010-07-12,42.83,42.83,40.86,41.51,9855000,41.47
2010-07-09,40.91,43.38,40.89,42.88,13379000,42.84
2010-07-08,41.30,41.30,39.85,41.09,10947900,41.05
2010-07-07,38.22,40.45,38.02,40.39,12956400,40.35
2010-07-06,39.18,39.88,37.70,38.22,12633900,38.18
2010-07-02,38.71,38.71,36.93,37.66,10126600,37.62
2010-07-01,38.55,39.49,37.00,38.14,19390800,38.10
2010-06-30,38.96,40.09,38.39,38.55,11562000,38.51
2010-06-29,40.18,40.92,38.70,39.11,16318800,39.07
2010-06-28,43.32,43.37,41.32,41.55,10766400,41.51
2010-06-25,42.20,43.61,41.49,43.24,12952400,43.20
2010-06-24,43.71,43.80,41.90,42.05,14014900,42.01
2010-06-23,43.63,44.57,42.60,44.06,13332300,44.01
2010-06-22,45.50,45.52,43.39,43.59,11462400,43.55
2010-06-21,45.00,46.25,44.61,44.97,16931500,44.92
2010-06-18,44.30,44.35,43.00,43.41,11058200,43.37
2010-06-17,45.42,45.50,43.50,44.10,12822900,44.05
2010-06-16,45.24,45.89,44.68,45.31,9220500,45.26
2010-06-15,44.99,46.00,43.98,45.91,10631600,45.86
2010-06-14,46.17,46.26,44.47,44.56,12788800,44.51
2010-06-11,43.07,44.84,42.83,44.82,12892200,44.77
2010-06-10,42.77,43.26,42.22,43.19,11524900,43.15
2010-06-09,42.20,43.32,41.04,41.34,17225800,41.30
2010-06-08,40.64,41.50,40.10,41.34,18040800,41.30
2010-06-07,42.13,42.42,40.29,40.30,15421700,40.26
2010-06-04,43.57,44.27,41.39,41.99,25928700,41.95
2010-06-03,46.52,46.65,44.00,45.28,14404300,45.23
2010-06-02,44.67,45.84,44.35,45.84,12379600,45.79
2010-06-01,46.05,46.60,44.01,44.01,14489300,43.96
2010-05-28,48.60,48.67,46.53,47.21,14062100,47.16
2010-05-27,46.88,48.93,46.33,48.86,18609200,48.81
2010-05-26,48.55,48.62,44.94,45.12,22775000,45.07
2010-05-25,43.82,47.69,43.61,47.31,24330800,47.26
2010-05-24,47.06,47.39,45.47,45.64,14416400,45.59
2010-05-21,45.22,48.10,45.18,47.10,25092000,47.05
