Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.99,24.33,23.99,24.33,2441000,24.33
2010-11-04,24.02,24.13,23.95,24.12,1494900,24.12
2010-11-03,23.93,24.02,23.69,23.88,1860700,23.88
2010-11-02,23.85,24.00,23.84,23.91,1958700,23.91
2010-11-01,23.97,24.06,23.53,23.67,2169600,23.67
2010-10-29,23.80,23.96,23.66,23.86,1820100,23.86
2010-10-28,24.02,24.07,23.71,23.80,3966500,23.80
2010-10-27,23.88,23.93,23.61,23.86,3620100,23.86
2010-10-26,23.83,24.08,23.80,24.03,3529500,24.03
2010-10-25,23.95,24.00,23.81,23.90,1533300,23.90
2010-10-22,23.77,23.89,23.71,23.89,2401100,23.89
2010-10-21,24.00,24.00,23.64,23.76,1847700,23.76
2010-10-20,23.79,23.99,23.77,23.90,2338700,23.90
2010-10-19,23.56,23.84,23.52,23.69,2393600,23.69
2010-10-18,23.60,23.76,23.56,23.76,1669400,23.76
2010-10-15,23.53,23.63,23.42,23.56,5669500,23.56
2010-10-14,23.35,23.50,23.27,23.32,1679700,23.32
2010-10-13,23.32,23.42,23.24,23.32,1639200,23.32
2010-10-12,23.40,23.45,23.17,23.23,2280000,23.23
2010-10-11,23.44,23.55,23.36,23.41,1000900,23.41
2010-10-08,23.49,23.51,23.34,23.47,1742200,23.47
2010-10-07,23.50,23.64,23.33,23.43,1601900,23.43
2010-10-06,23.51,23.59,23.35,23.46,2176200,23.46
2010-10-05,23.35,23.57,23.24,23.56,2629100,23.56
2010-10-04,23.20,23.34,23.03,23.18,1783400,23.18
2010-10-01,23.12,23.27,23.02,23.23,3114500,23.23
2010-09-30,23.16,23.28,22.97,22.97,3504000,22.97
2010-09-29,22.92,23.14,22.89,23.09,3081000,23.09
2010-09-28,22.96,23.13,22.73,23.02,4122100,23.02
2010-09-27,22.96,23.05,22.89,22.91,1771600,22.91
2010-09-24,22.75,22.97,22.70,22.93,2384200,22.93
2010-09-23,22.78,22.78,22.49,22.54,3402400,22.54
2010-09-22,22.85,23.11,22.82,22.83,3170900,22.83
2010-09-21,22.92,23.05,22.74,22.84,3873900,22.84
