Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.09,21.09,20.46,20.80,8402100,20.80
2010-11-04,20.75,21.16,20.41,21.13,5645600,21.13
2010-11-03,21.10,21.25,20.29,20.51,10288500,20.51
2010-11-02,21.19,21.19,20.78,21.02,4722300,21.02
2010-11-01,21.34,21.56,20.73,20.92,5430000,20.92
2010-10-29,21.28,21.40,20.94,21.15,5157300,21.15
2010-10-28,21.81,21.93,21.14,21.30,3740000,21.30
2010-10-27,21.72,21.85,21.44,21.74,3322300,21.74
2010-10-26,21.95,22.12,21.76,21.95,2669900,21.95
2010-10-25,22.08,22.47,22.06,22.07,2981000,22.07
2010-10-22,21.78,21.98,21.65,21.98,2776800,21.98
2010-10-21,22.01,22.18,21.56,21.61,4003100,21.61
2010-10-20,21.68,22.07,21.56,21.90,4433500,21.90
2010-10-19,21.82,22.02,21.39,21.58,4773600,21.58
2010-10-18,22.09,22.31,22.05,22.13,3941500,22.13
2010-10-15,22.29,22.36,21.72,22.04,5112600,22.04
2010-10-14,22.16,22.37,21.81,22.10,4453400,22.10
2010-10-13,22.32,22.52,22.15,22.20,4196900,22.20
2010-10-12,22.02,22.29,21.79,22.22,3681000,22.22
2010-10-11,22.15,22.26,22.01,22.13,1772300,22.13
2010-10-08,21.85,22.19,21.71,22.08,2286500,22.08
2010-10-07,21.72,21.97,21.60,21.85,2564200,21.85
2010-10-06,22.17,22.23,21.70,21.71,5325100,21.71
2010-10-05,21.67,22.25,21.42,22.16,5932900,22.16
2010-10-04,21.24,21.76,21.17,21.48,5238400,21.48
2010-10-01,21.66,21.93,21.50,21.55,4909900,21.55
2010-09-30,21.85,22.14,21.65,21.66,5167300,21.66
2010-09-29,21.26,21.79,21.08,21.72,5973400,21.72
2010-09-28,21.45,21.58,21.16,21.39,5271400,21.39
2010-09-27,21.16,21.65,21.09,21.43,4982300,21.43
2010-09-24,20.95,21.24,20.95,21.22,4560200,21.22
2010-09-23,20.64,20.94,20.55,20.60,4579800,20.60
2010-09-22,21.01,21.14,20.73,20.86,4311400,20.86
2010-09-21,21.13,21.27,20.84,21.01,5887400,21.01
2010-09-20,20.99,21.24,20.83,21.18,4891200,21.18
2010-09-17,20.42,21.03,20.42,20.89,7648600,20.89
2010-09-16,20.28,20.43,20.20,20.34,4342900,20.34
2010-09-15,19.98,20.57,19.77,20.42,3315800,20.42
2010-09-14,20.19,20.44,20.05,20.26,3046300,20.26
2010-09-13,20.55,20.70,20.20,20.29,5075400,20.29
2010-09-10,20.15,20.35,20.08,20.24,3798200,20.14
2010-09-09,19.68,20.28,19.68,20.18,8602600,20.08
2010-09-08,19.02,19.61,18.89,19.59,5899700,19.49
2010-09-07,19.09,19.10,18.71,18.76,3360200,18.67
2010-09-03,18.97,19.12,18.81,19.10,2334700,19.01
2010-09-02,18.81,18.85,18.55,18.71,3644900,18.62
2010-09-01,18.19,18.85,18.19,18.76,4544100,18.67
2010-08-31,17.51,18.14,17.37,17.91,4916500,17.82
2010-08-30,18.06,18.14,17.68,17.68,2980500,17.59
2010-08-27,17.79,18.17,17.50,18.17,2628700,18.08
2010-08-26,17.81,18.08,17.48,17.65,4289600,17.56
