Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,11.90,11.95,11.82,11.90,6123700,11.90
2010-11-04,11.86,11.96,11.82,11.93,9945400,11.93
2010-11-03,11.72,11.80,11.52,11.70,11274800,11.70
2010-11-02,11.74,11.85,11.68,11.72,5919700,11.72
2010-11-01,11.74,11.90,11.52,11.61,10026000,11.61
2010-10-29,11.63,11.70,11.55,11.70,8454700,11.70
2010-10-28,11.64,11.73,11.40,11.68,11748000,11.68
2010-10-27,11.41,11.59,11.30,11.55,10673800,11.55
2010-10-26,11.59,11.59,11.28,11.49,19450600,11.49
2010-10-25,11.44,11.73,11.42,11.60,15211400,11.60
2010-10-22,11.25,11.44,11.17,11.42,14995300,11.42
2010-10-21,11.33,11.39,11.04,11.21,20668200,11.21
2010-10-20,10.98,11.30,10.94,11.09,19822300,11.09
2010-10-19,11.08,11.14,10.81,10.94,12946200,10.94
2010-10-18,11.05,11.26,11.01,11.22,11399300,11.22
2010-10-15,11.08,11.17,10.95,11.06,11338900,11.06
2010-10-14,11.06,11.12,10.90,11.03,12464800,11.03
2010-10-13,11.25,11.28,11.07,11.08,12013000,11.08
2010-10-12,11.00,11.18,10.91,11.16,10692000,11.16
2010-10-11,10.98,11.21,10.97,11.04,13997700,11.04
2010-10-08,10.76,11.06,10.72,10.95,13179100,10.95
2010-10-07,10.79,10.83,10.61,10.74,12107500,10.74
2010-10-06,10.70,10.81,10.60,10.74,9645000,10.74
2010-10-05,10.53,10.78,10.52,10.72,13811100,10.72
2010-10-04,10.45,10.64,10.32,10.44,9288500,10.44
2010-10-01,10.41,10.52,10.30,10.50,9815400,10.50
2010-09-30,10.40,10.57,10.22,10.35,11669800,10.35
2010-09-29,10.55,10.64,10.23,10.29,14960200,10.29
2010-09-28,10.50,10.60,10.25,10.55,11331600,10.55
2010-09-27,10.50,10.56,10.39,10.50,12771700,10.46
2010-09-24,10.37,10.63,10.35,10.52,12773100,10.48
2010-09-23,10.12,10.42,10.07,10.16,10771600,10.12
2010-09-22,10.27,10.31,10.13,10.20,8955800,10.16
2010-09-21,10.40,10.42,10.15,10.27,14023800,10.23
2010-09-20,10.22,10.42,10.07,10.36,14620700,10.32
2010-09-17,10.15,10.18,9.96,10.10,18305400,10.06
2010-09-16,9.77,10.23,9.73,10.05,27718800,10.01
2010-09-15,9.65,9.85,9.59,9.75,12530000,9.71
2010-09-14,9.82,9.89,9.60,9.60,16116100,9.56
2010-09-13,9.80,9.99,9.58,9.81,26890100,9.77
2010-09-10,9.17,9.30,9.09,9.11,9972300,9.07
2010-09-09,9.07,9.21,9.01,9.14,10406900,9.10
2010-09-08,8.97,9.00,8.90,8.95,8197700,8.91
2010-09-07,9.05,9.08,8.88,8.90,5385800,8.86
2010-09-03,9.05,9.20,8.96,9.09,10635600,9.05
2010-09-02,8.83,8.96,8.63,8.93,7998900,8.89
2010-09-01,8.60,8.87,8.59,8.82,11193500,8.78
2010-08-31,8.43,8.53,8.32,8.45,13390300,8.42
2010-08-30,8.60,8.72,8.45,8.46,8007000,8.43
2010-08-27,8.52,8.66,8.32,8.64,14611600,8.60
2010-08-26,8.65,8.77,8.43,8.47,13157800,8.44
2010-08-25,8.40,8.64,8.32,8.59,11257800,8.55
2010-08-24,8.67,8.67,8.37,8.46,20677800,8.43
2010-08-23,9.03,9.03,8.80,8.80,9504400,8.76
2010-08-20,8.91,9.07,8.85,8.97,9802600,8.93
2010-08-19,9.20,9.26,8.85,9.05,6174700,9.01
2010-08-18,9.26,9.33,9.16,9.26,10465700,9.22
2010-08-17,9.05,9.34,9.04,9.24,9748900,9.20
2010-08-16,8.95,9.05,8.88,9.02,6500100,8.98
2010-08-13,9.05,9.22,8.98,9.01,8902600,8.97
2010-08-12,9.17,9.17,8.94,9.10,13082300,9.06
2010-08-11,9.43,9.48,9.17,9.27,17406600,9.23
2010-08-10,9.66,9.72,9.38,9.62,14720600,9.58
2010-08-09,9.63,9.81,9.63,9.75,9222900,9.71
2010-08-06,9.51,9.62,9.34,9.59,8784100,9.55
2010-08-05,9.69,9.69,9.50,9.64,9452500,9.60
2010-08-04,9.71,9.77,9.57,9.74,12500000,9.70
2010-08-03,9.80,9.85,9.52,9.65,15738400,9.61
2010-08-02,9.74,9.99,9.65,9.82,18546000,9.78
2010-07-30,9.51,9.86,9.47,9.74,19700100,9.70
2010-07-29,9.55,9.70,9.55,9.63,22283100,9.59
2010-07-28,9.57,9.60,9.36,9.52,15073600,9.48
2010-07-27,9.59,9.71,9.47,9.57,25333100,9.53
2010-07-26,9.33,9.53,9.15,9.53,22460600,9.49
2010-07-23,8.97,9.26,8.86,9.25,20491100,9.21
2010-07-22,8.82,9.34,8.82,9.03,32859100,8.99
2010-07-21,8.53,8.66,8.30,8.41,19366800,8.38
2010-07-20,8.27,8.50,8.08,8.47,19328200,8.44
2010-07-19,8.33,8.48,8.25,8.44,11034400,8.41
2010-07-16,8.58,8.60,8.23,8.30,13624800,8.27
2010-07-15,8.60,8.67,8.39,8.61,12069700,8.57
2010-07-14,8.61,8.71,8.47,8.61,14444200,8.57
2010-07-13,8.50,8.72,8.50,8.63,14523700,8.59
2010-07-12,8.24,8.45,8.22,8.40,16196000,8.37
2010-07-09,8.19,8.28,8.11,8.22,17022000,8.19
2010-07-08,8.21,8.22,8.07,8.17,19480500,8.14
2010-07-07,7.91,8.14,7.89,8.12,19309900,8.09
2010-07-06,8.09,8.20,7.83,7.91,17284100,7.88
