Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.37,22.66,21.20,22.03,5278000,22.03
2010-11-04,20.91,21.60,20.80,21.37,4135700,21.37
2010-11-03,20.20,20.79,20.12,20.76,3652100,20.76
2010-11-02,20.70,20.88,20.08,20.20,4062600,20.20
2010-11-01,20.82,20.92,19.93,20.46,3600300,20.46
2010-10-29,21.11,21.14,20.66,20.75,2837900,20.75
2010-10-28,21.50,21.58,20.81,21.09,2454100,21.09
2010-10-27,21.22,21.64,21.19,21.31,1903900,21.31
2010-10-26,21.34,21.60,21.20,21.43,2085200,21.43
2010-10-25,21.91,21.95,21.26,21.37,2716900,21.37
2010-10-22,21.59,21.86,21.36,21.69,2851200,21.69
2010-10-21,21.90,22.14,21.33,21.55,4305300,21.55
2010-10-20,21.89,21.90,21.42,21.79,5476200,21.79
2010-10-19,21.18,22.70,20.96,21.86,9327700,21.86
2010-10-18,20.68,21.57,20.55,21.35,5206700,21.35
2010-10-15,21.53,21.64,20.57,20.72,4911700,20.72
2010-10-14,21.71,21.74,20.91,21.36,3969800,21.36
2010-10-13,22.38,22.55,21.80,21.82,3649100,21.82
2010-10-12,21.74,22.24,21.45,22.12,2846400,22.12
2010-10-11,21.89,22.00,21.67,21.80,1742600,21.80
2010-10-08,21.76,21.98,21.67,21.89,2536800,21.89
2010-10-07,22.02,22.21,21.59,21.76,2012900,21.76
2010-10-06,21.93,22.22,21.84,21.95,3706500,21.95
2010-10-05,21.42,22.27,21.23,21.91,3971400,21.91
2010-10-04,21.07,21.47,21.00,21.14,2626700,21.14
2010-10-01,21.65,21.75,20.98,21.21,2840700,21.21
2010-09-30,21.21,21.74,21.07,21.36,4158600,21.36
2010-09-29,20.49,21.11,20.38,21.06,3305100,21.06
2010-09-28,20.67,20.71,20.22,20.67,4032200,20.67
2010-09-27,20.95,20.99,20.66,20.68,2596400,20.68
2010-09-24,20.48,20.91,20.45,20.89,3193000,20.89
2010-09-23,20.28,20.94,20.02,20.10,4950600,20.10
2010-09-22,21.25,21.40,20.55,20.62,5875900,20.62
2010-09-21,22.09,22.20,21.55,21.58,3510700,21.58
2010-09-20,21.56,22.21,21.28,22.00,4633700,22.00
2010-09-17,21.01,22.12,20.76,21.45,8646200,21.45
2010-09-16,20.81,20.92,20.57,20.86,2747600,20.86
2010-09-15,20.62,21.20,20.43,20.94,2976200,20.94
2010-09-14,21.20,21.22,20.78,20.84,4031800,20.84
2010-09-13,20.59,21.40,20.44,21.31,6836700,21.31
2010-09-10,20.25,20.42,19.80,19.84,2837900,19.84
2010-09-09,20.36,20.69,19.79,20.31,2813500,20.31
2010-09-08,19.66,20.10,19.64,19.79,2341800,19.79
2010-09-07,20.17,20.17,19.46,19.54,2681000,19.54
2010-09-03,20.00,20.43,19.76,20.33,3613300,20.33
2010-09-02,19.36,19.74,19.23,19.71,2557300,19.71
2010-09-01,18.81,19.28,18.54,19.27,4879200,19.27
2010-08-31,18.11,18.70,18.06,18.42,3945700,18.42
2010-08-30,18.52,18.57,18.15,18.24,3601800,18.24
2010-08-27,18.24,18.73,18.05,18.71,3161900,18.71
2010-08-26,18.46,18.68,18.01,18.14,3356700,18.14
2010-08-25,18.21,18.37,17.91,18.27,4133800,18.27
2010-08-24,18.55,18.70,18.21,18.32,3979000,18.32
2010-08-23,19.20,19.33,18.76,18.82,2801600,18.82
2010-08-20,19.22,19.27,18.81,19.14,3722600,19.14
2010-08-19,19.80,20.00,19.13,19.35,4593600,19.35
2010-08-18,20.09,20.30,19.87,19.99,3816800,19.99
2010-08-17,20.16,20.47,19.83,20.31,3171600,20.31
2010-08-16,19.78,19.96,19.60,19.95,2591000,19.95
2010-08-13,20.15,20.43,19.84,19.89,2519200,19.89
2010-08-12,19.84,20.46,19.66,20.19,3935300,20.19
2010-08-11,21.05,21.12,20.12,20.12,4927800,20.12
2010-08-10,21.45,21.72,21.07,21.46,3253600,21.46
2010-08-09,21.72,21.96,21.48,21.84,2102500,21.84
2010-08-06,21.81,21.97,21.01,21.64,3954400,21.64
2010-08-05,22.45,22.53,21.96,22.11,2245300,22.10
2010-08-04,22.84,23.05,22.40,22.62,2506000,22.61
2010-08-03,22.92,23.19,22.52,22.61,3378900,22.60
2010-08-02,22.57,22.91,22.31,22.89,3144100,22.88
2010-07-30,21.67,22.28,21.65,22.19,4743600,22.18
2010-07-29,21.72,22.39,21.64,22.05,8271300,22.04
2010-07-28,21.39,21.67,21.10,21.26,4201200,21.25
2010-07-27,21.61,22.09,21.12,21.42,4121500,21.41
2010-07-26,20.65,21.40,20.41,21.34,3577300,21.33
2010-07-23,20.01,20.68,19.67,20.55,4382100,20.54
2010-07-22,19.84,20.40,19.77,20.17,5825100,20.16
2010-07-21,19.86,20.17,19.30,19.42,9420400,19.41
2010-07-20,19.93,20.47,19.29,19.51,19267700,19.50
2010-07-19,21.75,22.02,21.01,21.42,6259700,21.41
2010-07-16,22.84,22.89,21.50,21.69,5927300,21.68
